trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,A,16,1,0.1,0.0005,1e-05,32,50,6,0.6940204634836166,0.3449306299770862,0.3815276027546225,0.2287915564843897,-0.31249286072899407,29,2.4927732944488525
2,A,16,1,0.2,0.0005,1e-05,32,50,6,0.6922427398019341,0.34482862399052405,0.3800145685006547,0.22993216856872373,-0.3122281713012794,50,4.102785110473633
3,A,16,1,0.1,0.001,1e-05,32,50,6,0.6909893927699582,0.34465533087404077,0.3822055870655214,0.23575706691001153,-0.3087838057044368,26,2.098640203475952
4,A,16,1,0.2,0.001,1e-05,32,50,6,0.6961487359749948,0.3450879524103684,0.38299298611943755,0.23006043136067558,-0.3131557498555573,19,1.4506611824035645
5,A,16,1,0.1,0.0015,1e-05,32,50,6,0.686792555308748,0.3439292923808801,0.38024087289836345,0.22757835790171965,-0.3065516824103846,26,1.9728367328643799
6,A,16,1,0.2,0.0015,1e-05,32,50,6,0.6956788732454892,0.3453388668960863,0.37811628758496457,0.227894710532795,-0.3175625856605246,13,0.9906389713287354
7,A,16,1,0.1,0.002,1e-05,32,50,6,0.6945544616107826,0.3447814658252694,0.39813201281894556,0.24700808629985332,-0.29642244879183705,13,1.0000741481781006
8,A,16,1,0.2,0.002,1e-05,32,50,6,0.6929261407547005,0.34407585159915416,0.37976673051392323,0.22839932975534863,-0.31315941024077726,14,1.1551539897918701
9,A,16,1,0.1,0.003,1e-05,32,50,6,0.6952201643150512,0.3451856774699562,0.38295917553415854,0.22966955581382087,-0.31226098878089265,10,0.763401985168457
10,A,16,1,0.2,0.003,1e-05,32,50,6,0.6860606645159297,0.34377566567569207,0.37874015966007707,0.22901123047265684,-0.30732050485585266,17,1.534256935119629
11,A,32,1,0.1,0.0005,1e-05,32,50,6,0.6912369930496921,0.3445256852232479,0.38102151983436994,0.22941463007809776,-0.31021547321532217,24,2.577064037322998
12,A,32,1,0.2,0.0005,1e-05,32,50,6,0.6908011096598472,0.34426517776397086,0.38041182167677157,0.22810373253423166,-0.31038928798307563,32,3.4621379375457764
13,A,32,1,0.1,0.001,1e-05,32,50,6,0.689479014783176,0.343716978707701,0.3794720620728336,0.22805229483637093,-0.31000695271034234,17,1.8543541431427002
14,A,32,1,0.2,0.001,1e-05,32,50,6,0.6919261472483959,0.3447953113617638,0.38098353795578926,0.22889817113634633,-0.3109426092926066,15,1.622859001159668
15,A,32,1,0.1,0.0015,1e-05,32,50,6,0.6912908784947902,0.3442623472206204,0.38669658729676154,0.23369894357255547,-0.30459429119802867,14,1.5157570838928223
16,A,32,1,0.2,0.0015,1e-05,32,50,6,0.6909986930337572,0.34419355952553116,0.3798247208414902,0.22827468924913155,-0.31117397219226695,16,1.747978925704956
17,A,32,1,0.1,0.002,1e-05,32,50,6,0.6880313621066518,0.34377786785384956,0.38085395847819625,0.22813880852528573,-0.3071774036284556,15,1.6238300800323486
18,A,32,1,0.2,0.002,1e-05,32,50,6,0.6888926187417566,0.34390725550797174,0.37984951296555225,0.2286407120103063,-0.3090431057762043,15,1.6354081630706787
19,A,32,1,0.1,0.003,1e-05,32,50,6,0.6872288131735977,0.34286992118772863,0.3824135064319546,0.23142695394380083,-0.30481530674164314,12,1.3062920570373535
20,A,32,1,0.2,0.003,1e-05,32,50,6,0.693346865780518,0.3443941702449647,0.38234585434012813,0.22931320136656727,-0.31100101144038983,10,1.1187000274658203
21,A,48,1,0.1,0.0005,1e-05,32,50,6,0.6921388334765154,0.34483766795966203,0.3794944292183914,0.2290066279239583,-0.312644404258124,19,2.124758005142212
22,A,48,1,0.2,0.0005,1e-05,32,50,6,0.6912562856270943,0.3444210987526761,0.3807403874786237,0.22875140680139291,-0.3105158981484706,21,2.3358540534973145
23,A,48,1,0.1,0.001,1e-05,32,50,6,0.6897126182114925,0.3445502512253187,0.3819444579904444,0.22993824769466586,-0.30776816022104814,17,1.892610788345337
24,A,48,1,0.2,0.001,1e-05,32,50,6,0.6896404988900622,0.34439181780369815,0.3821667624235736,0.22989979864944807,-0.30747373646648857,17,1.9133579730987549
25,A,48,1,0.1,0.0015,1e-05,32,50,6,0.6884065892562647,0.34411164654186877,0.38334415300504066,0.23115035011536356,-0.3050624362512241,14,1.5612123012542725
26,A,48,1,0.2,0.0015,1e-05,32,50,6,0.6910400552676429,0.34456197752047196,0.38030313417964084,0.2306789547578421,-0.31073692108800205,12,1.362912893295288
27,A,48,1,0.1,0.002,1e-05,32,50,6,0.6929476676186919,0.34473598813032624,0.3803725511219581,0.2286381923353352,-0.31257511649673375,10,1.1236190795898438
28,A,48,1,0.2,0.002,1e-05,32,50,6,0.6858202914565985,0.3417249530118561,0.3791973709841808,0.22851573408379228,-0.3066229204724177,17,1.9118821620941162
29,A,48,1,0.1,0.003,1e-05,32,50,6,0.6890633739912256,0.34485859765913074,0.3825053182389463,0.23103656123458202,-0.30655805575227935,11,1.2381548881530762
30,A,48,1,0.2,0.003,1e-05,32,50,6,0.6918615549546023,0.3444013379099869,0.38297243836453004,0.23110114606784432,-0.3088891165900723,10,1.1328227519989014
31,A,64,1,0.1,0.0005,1e-05,32,50,6,0.6917083274172464,0.34491545548997826,0.3804926340772139,0.22887524230760783,-0.3112156933400325,19,2.2068049907684326
32,A,64,1,0.2,0.0005,1e-05,32,50,6,0.6902809657550889,0.3447892778286166,0.3802742683339483,0.22988976611099235,-0.3100066974211406,20,2.282665967941284
33,A,64,1,0.1,0.001,1e-05,32,50,6,0.6913528656863449,0.3451774882080021,0.3803229701849612,0.22867032657313568,-0.3110298955013837,13,1.5032262802124023
34,A,64,1,0.2,0.001,1e-05,32,50,6,0.6914232002053083,0.34442014882240596,0.3803723137791391,0.228843965002483,-0.31105088642616924,13,1.4921622276306152
35,A,64,1,0.1,0.0015,1e-05,32,50,6,0.6901112830837018,0.34500000771328737,0.3805412905246945,0.22928699437670932,-0.30956999255900736,12,1.3934619426727295
36,A,64,1,0.2,0.0015,1e-05,32,50,6,0.6887472801335183,0.34434564736660034,0.38088518795412823,0.22933746471143227,-0.30786209217939003,13,1.509253740310669
37,A,64,1,0.1,0.002,1e-05,32,50,6,0.688978513117761,0.34923854766565304,0.38049914821055875,0.22904463014566648,-0.3084793649072023,16,1.8328170776367188
38,A,64,1,0.2,0.002,1e-05,32,50,6,0.688699926151023,0.34447045491766043,0.38095932359394263,0.22986658297699825,-0.3077406025570804,12,1.3786118030548096
39,A,64,1,0.1,0.003,1e-05,32,50,6,0.6898001594772469,0.344850370585098,0.3807528162731755,0.23020891436503965,-0.30904734320407146,10,1.1587109565734863
40,A,64,1,0.2,0.003,1e-05,32,50,6,0.687587519137256,0.34379831565444535,0.3814557754283619,0.23076127856073966,-0.3061317437088941,11,1.2900757789611816
41,A,96,1,0.1,0.0005,1e-05,32,50,6,0.6912799790372175,0.3449663779052364,0.38003127692275906,0.2295310916755896,-0.31124870211445843,17,1.4445760250091553
42,A,96,1,0.2,0.0005,1e-05,32,50,6,0.691236799088863,0.34544755567595226,0.3798178795268643,0.23011313497512723,-0.31141891956199874,16,1.3367810249328613
43,A,96,1,0.1,0.001,1e-05,32,50,6,0.683628498089063,0.3422058011213117,0.3805212002298404,0.22860539386201292,-0.30310729785922264,22,1.9005470275878906
44,A,96,1,0.2,0.001,1e-05,32,50,6,0.6906680853162176,0.34501212584085106,0.38133231532325945,0.23093950860517187,-0.30933576999295814,12,0.9845080375671387
45,A,96,1,0.1,0.0015,1e-05,32,50,6,0.692023716918952,0.3482390535716998,0.38031707852506486,0.22885325518472185,-0.3117066383938872,15,1.2726666927337646
46,A,96,1,0.2,0.0015,1e-05,32,50,6,0.6887599345857139,0.3448522455599713,0.38084975448510133,0.23088529302238417,-0.3079101801006126,12,0.9937338829040527
47,A,96,1,0.1,0.002,1e-05,32,50,6,0.6827354639174817,0.3446754339768701,0.38193575248534795,0.2298203788945639,-0.3007997114321338,16,1.3707430362701416
48,A,96,1,0.2,0.002,1e-05,32,50,6,0.6883668661449988,0.34489237572236553,0.3819308261571829,0.23081724925135194,-0.3064360399878159,12,1.0051560401916504
