trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,cnn_filters,kernel_size,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,B,16,1,0.2,0.001,1e-05,32,50,6,8,3,0.7035702362743145,0.34993489514181997,0.37768524777755297,0.23245546240620407,-0.3258849884967615,9,0.8482050895690918
2,B,16,1,0.2,0.001,1e-05,32,50,6,8,4,0.7067420385931399,0.3526109426971607,0.37697851535272997,0.2288861462310169,-0.3297635232404099,9,0.8493950366973877
3,B,16,1,0.2,0.001,1e-05,32,50,6,8,5,0.7049120688702117,0.3502794785024694,0.37933827391819386,0.236832828685928,-0.3255737949520179,7,0.8065259456634521
4,B,16,1,0.2,0.001,1e-05,32,50,6,8,6,0.690085482760666,0.3454601070593449,0.37962963787427384,0.22822502544105835,-0.3104558448863921,18,1.6934399604797363
5,B,16,1,0.2,0.001,1e-05,32,50,6,8,7,0.706126239853763,0.3503390965097987,0.37734487343487627,0.23229739549634573,-0.3287813664188867,7,0.804797887802124
6,B,16,1,0.2,0.001,1e-05,32,50,6,12,3,0.6959179176563713,0.34639078516753163,0.3783421482235779,0.23036554020848318,-0.3175757694327934,15,1.4348218441009521
7,B,16,1,0.2,0.001,1e-05,32,50,6,12,4,0.7026281561749728,0.3490992918440044,0.3777465152177899,0.22886736521603063,-0.32488164095718286,8,0.7582552433013916
8,B,16,1,0.2,0.001,1e-05,32,50,6,12,5,0.6929870256785986,0.3455433864001875,0.3891886725840434,0.2366232673861879,-0.3037983530945552,18,1.71980619430542
9,B,16,1,0.2,0.001,1e-05,32,50,6,12,6,0.7052587890690439,0.35023062296748,0.3783930731072281,0.23530939181369392,-0.32686571596181585,7,0.6631202697753906
10,B,16,1,0.2,0.001,1e-05,32,50,6,12,7,0.7049898760917748,0.34974693922466665,0.3762146670137518,0.22821471350421874,-0.328775209078023,7,0.674907922744751
11,B,16,1,0.2,0.001,1e-05,32,50,6,16,3,0.694285156640098,0.3458172096894219,0.3775904123089886,0.23059160250072552,-0.31669474433110945,14,1.2778830528259277
12,B,16,1,0.2,0.001,1e-05,32,50,6,16,4,0.6953264657328653,0.34507738915533454,0.3782576565038391,0.23096433278203915,-0.3170688092290262,14,1.3249428272247314
13,B,16,1,0.2,0.001,1e-05,32,50,6,16,5,0.6894327412507864,0.34575415280170596,0.37702192862649514,0.22727649534203043,-0.3124108126242912,17,1.553178071975708
14,B,16,1,0.2,0.001,1e-05,32,50,6,16,6,0.6922457070683461,0.34569555161004095,0.3767384737978572,0.22797391523852953,-0.3155072332704889,14,1.3166956901550293
15,B,16,1,0.2,0.001,1e-05,32,50,6,16,7,0.7031038424402005,0.35001024402828373,0.37824132837639174,0.23317479344488953,-0.3248625140638088,10,0.9175820350646973
16,B,16,1,0.2,0.001,1e-05,32,50,6,20,3,0.7003796011424721,0.34766546595312203,0.38285337566336514,0.2294906060706897,-0.31752622547910697,11,1.0058341026306152
17,B,16,1,0.2,0.001,1e-05,32,50,6,20,4,0.7041890270635943,0.3516480550988617,0.3799987754520649,0.2385535600058757,-0.3241902516115294,7,0.6651718616485596
18,B,16,1,0.2,0.001,1e-05,32,50,6,20,5,0.7008318330665806,0.3495046736636452,0.37823700217337974,0.23159453678690634,-0.32259483089320085,10,0.9282758235931396
19,B,16,1,0.2,0.001,1e-05,32,50,6,20,6,0.7035892940330833,0.35064210761249937,0.37765525125744703,0.23171877480461125,-0.3259340427756363,8,0.7565720081329346
20,B,16,1,0.2,0.001,1e-05,32,50,6,20,7,0.6980049632564609,0.34769323170110056,0.37865365656266864,0.23062563319652324,-0.31935130669379225,12,1.1032240390777588
21,B,16,1,0.2,0.001,1e-05,32,50,6,24,3,0.7053216141638163,0.35297694944671626,0.37634041002796204,0.2282970923501131,-0.3289812041358543,7,0.6399679183959961
22,B,16,1,0.2,0.001,1e-05,32,50,6,24,4,0.7046319854123606,0.3496925187201805,0.3768378388290455,0.23054645154289674,-0.3277941465833151,7,0.6594753265380859
23,B,16,1,0.2,0.001,1e-05,32,50,6,24,5,0.7002647850041972,0.3482052297969786,0.38215191702934936,0.22933359461667685,-0.31811286797484783,8,0.7251369953155518
24,B,16,1,0.2,0.001,1e-05,32,50,6,24,6,0.6851616897182048,0.3442516253463958,0.3799376754026079,0.2287793115007103,-0.30522401431559687,22,2.0785112380981445
