trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,cnn_filters,kernel_size,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,B,16,1,0.2,0.001,1e-05,32,50,6,8,3,0.46026416197882175,0.3531742632826715,0.4228546029625091,0.33876414415502343,-0.037409559016312655,23,2.2712929248809814
2,B,16,1,0.2,0.001,1e-05,32,50,6,8,4,0.46282438062784637,0.35453589487503356,0.36996621570095534,0.28706375185469163,-0.09285816492689103,21,2.143406867980957
3,B,16,1,0.2,0.001,1e-05,32,50,6,8,5,0.4604178788868631,0.35411806377370425,0.449385211708854,0.3648394816440104,-0.011032667178009103,20,2.3433921337127686
4,B,16,1,0.2,0.001,1e-05,32,50,6,8,6,0.46052141885314063,0.35271086149373787,0.3692994450861009,0.2859863736761721,-0.09122197376703972,20,1.8926680088043213
5,B,16,1,0.2,0.001,1e-05,32,50,6,8,7,0.4612699003251823,0.35291233208845624,0.4613079347028915,0.3759501369526307,3.803437770921736e-05,21,2.4376609325408936
6,B,16,1,0.2,0.001,1e-05,32,50,6,12,3,0.45850714641113544,0.3515290358250765,0.4399942699425003,0.3561391065231757,-0.018512876468635142,34,3.321763277053833
7,B,16,1,0.2,0.001,1e-05,32,50,6,12,4,0.4643909880538413,0.35442617450000274,0.38766221265347317,0.304192024208551,-0.07672877540036815,15,1.4376201629638672
8,B,16,1,0.2,0.001,1e-05,32,50,6,12,5,0.45917060180498476,0.35242637062439125,0.40770887763718017,0.3253114489399908,-0.05146172416780459,19,1.8617010116577148
9,B,16,1,0.2,0.001,1e-05,32,50,6,12,6,0.4604694056498398,0.35310618892066575,0.40353502759744236,0.32113313202590693,-0.05693437805239743,16,1.5108370780944824
10,B,16,1,0.2,0.001,1e-05,32,50,6,12,7,0.4600484847162888,0.3519989779574839,0.3692357922965455,0.2861175248870492,-0.09081269241974327,18,1.8272669315338135
11,B,16,1,0.2,0.001,1e-05,32,50,6,16,3,0.461585482779249,0.3533027261567644,0.4017673103858508,0.31906636921165304,-0.059818172393398206,20,1.8526148796081543
12,B,16,1,0.2,0.001,1e-05,32,50,6,16,4,0.4602871643425463,0.35313197758345694,0.36411399878169953,0.2793991471972535,-0.09617316556084676,21,2.001222848892212
13,B,16,1,0.2,0.001,1e-05,32,50,6,16,5,0.4605426038277082,0.3542317445538105,0.3979761424870424,0.3157921542918581,-0.06256646134066579,16,1.4797160625457764
14,B,16,1,0.2,0.001,1e-05,32,50,6,16,6,0.46191184621439635,0.35325368221953163,0.46827200454562884,0.38223320679445455,0.0063601583312324905,15,1.429366111755371
15,B,16,1,0.2,0.001,1e-05,32,50,6,16,7,0.46121057933093007,0.35308048923765406,0.39625504288140107,0.3139843707398317,-0.064955536449529,15,1.4038939476013184
16,B,16,1,0.2,0.001,1e-05,32,50,6,20,3,0.45868594336895624,0.3529386138444207,0.37674443016105336,0.294136994149914,-0.08194151320790288,26,2.407634735107422
17,B,16,1,0.2,0.001,1e-05,32,50,6,20,4,0.46031643934770106,0.35323599461051447,0.38334029323135627,0.30044360583126367,-0.07697614611634479,16,1.5417931079864502
18,B,16,1,0.2,0.001,1e-05,32,50,6,20,5,0.46073704906299495,0.35318052155705654,0.3977517180018959,0.315921193189681,-0.06298533106109905,16,1.4962382316589355
19,B,16,1,0.2,0.001,1e-05,32,50,6,20,6,0.45989242945968417,0.352400652480261,0.379153847155818,0.2962584371456946,-0.08073858230386616,18,1.7218706607818604
20,B,16,1,0.2,0.001,1e-05,32,50,6,20,7,0.4596345858072571,0.3519356705591174,0.3929274079199537,0.3111696635859306,-0.0667071778873034,16,1.4854001998901367
21,B,16,1,0.2,0.001,1e-05,32,50,6,24,3,0.4590435828092692,0.35217652565327284,0.3835229239307358,0.300958603825053,-0.07552065887853343,27,2.4798789024353027
22,B,16,1,0.2,0.001,1e-05,32,50,6,24,4,0.46321492462388,0.3542101707519344,0.3892255390970967,0.30653861297039514,-0.0739893855267833,12,1.1652469635009766
23,B,16,1,0.2,0.001,1e-05,32,50,6,24,5,0.4595518839789122,0.3529727574407717,0.3820679119181844,0.29912940008571864,-0.07748397206072782,17,1.547863245010376
24,B,16,1,0.2,0.001,1e-05,32,50,6,24,6,0.4597552296186418,0.35262601042833597,0.3661805709354084,0.28232770087209436,-0.09357465868323339,16,1.5349080562591553
25,B,16,1,0.2,0.001,1e-05,32,50,6,24,7,0.46097080689779196,0.35376113165118095,0.45868026818273666,0.3739154063966547,-0.0022905387150553014,16,1.4726941585540771
26,B,32,1,0.2,0.001,1e-05,32,50,6,8,3,0.45796235546381825,0.3518752401445991,0.3694327355952698,0.2873451592922117,-0.08852961986854846,43,5.2552478313446045
27,B,32,1,0.2,0.001,1e-05,32,50,6,8,4,0.4593623502278052,0.3527002318079256,0.37383824665981846,0.2901424262562121,-0.08552410356798673,27,3.403855085372925
28,B,32,1,0.2,0.001,1e-05,32,50,6,8,5,0.461921183028097,0.35300497984283397,0.38878557460251595,0.3064429675726977,-0.07313560842558103,14,1.6997449398040771
29,B,32,1,0.2,0.001,1e-05,32,50,6,8,6,0.46009047848413154,0.3528596242628874,0.3775574059436477,0.293676367642392,-0.08253307254048386,18,2.259432792663574
30,B,32,1,0.2,0.001,1e-05,32,50,6,8,7,0.4612575324851469,0.3544251053891942,0.3633775972225243,0.278881952327324,-0.09787993526262262,15,1.8358039855957031
31,B,32,1,0.2,0.001,1e-05,32,50,6,12,3,0.4623939007008329,0.3550883916592916,0.36578698821397543,0.281245973790564,-0.09660691248685749,18,2.2710378170013428
32,B,32,1,0.2,0.001,1e-05,32,50,6,12,4,0.4616866794100268,0.3538952523265768,0.45617842490720156,0.37103869813717,-0.005508254502825216,15,1.8927030563354492
33,B,32,1,0.2,0.001,1e-05,32,50,6,12,5,0.4599300781852807,0.35244358829540384,0.4112180856209633,0.3287113242855222,-0.04871199256431741,16,1.9811220169067383
34,B,32,1,0.2,0.001,1e-05,32,50,6,12,6,0.4615717201003115,0.3525763653936162,0.41890478601534664,0.3369430708150489,-0.04266693408496486,15,1.872189998626709
35,B,32,1,0.2,0.001,1e-05,32,50,6,12,7,0.46161915168755496,0.35387956980574475,0.42766937649929915,0.3448753377671328,-0.033949775188255815,13,1.6013848781585693
36,B,32,1,0.2,0.001,1e-05,32,50,6,16,3,0.4598178492566019,0.3529222508759504,0.3613992343050567,0.27776891467810266,-0.09841861495154519,19,2.3590688705444336
37,B,32,1,0.2,0.001,1e-05,32,50,6,16,4,0.45967956475622535,0.3533904907526134,0.3891770759235405,0.30633357841092096,-0.07050248883268484,23,2.337531328201294
38,B,32,1,0.2,0.001,1e-05,32,50,6,16,5,0.4596464750723559,0.3527370393453751,0.37046230636269467,0.2871023822009612,-0.08918416870966123,16,1.9841587543487549
39,B,32,1,0.2,0.001,1e-05,32,50,6,16,6,0.45967873212186183,0.35260416385060256,0.3984956074256186,0.31631647888897185,-0.06118312469624321,15,1.5072360038757324
40,B,32,1,0.2,0.001,1e-05,32,50,6,16,7,0.4610239100635178,0.3544782143623093,0.4025348690685005,0.3205585630964446,-0.05848904099501728,14,1.7244458198547363
41,B,32,1,0.2,0.001,1e-05,32,50,6,20,3,0.46048472453782824,0.35371097575605587,0.38757194573521003,0.30518428100297823,-0.0729127788026182,18,1.8282010555267334
42,B,32,1,0.2,0.001,1e-05,32,50,6,20,4,0.4621970482980241,0.3551152313483598,0.3778000686839241,0.29500428960506764,-0.08439697961410003,15,1.5062470436096191
43,B,32,1,0.2,0.001,1e-05,32,50,6,20,5,0.46114377963198383,0.35273128577307544,0.45409407111598343,0.36887663529915654,-0.007049708516000397,14,1.367898941040039
44,B,32,1,0.2,0.001,1e-05,32,50,6,20,6,0.4600344240638943,0.3529713630271881,0.39132411024795166,0.30967039026016463,-0.06871031381594261,15,1.5249669551849365
