trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,A,16,1,0.1,0.0005,1e-05,32,50,6,0.7034296499279142,0.34990478355522897,0.3772112209518359,0.22950839958284716,-0.32621842897607833,10,1.0323207378387451
2,A,16,1,0.2,0.0005,1e-05,32,50,6,0.693655711935082,0.3453542296503176,0.3797632390988945,0.23033144871813735,-0.31389247283618754,39,3.189915895462036
3,A,16,1,0.1,0.001,1e-05,32,50,6,0.6917370342709341,0.3451773514667828,0.3832453574667289,0.23805464050175407,-0.30849167680420525,24,1.956254005432129
4,A,16,1,0.2,0.001,1e-05,32,50,6,0.6947339255864974,0.34484248286074765,0.38297004130742196,0.22973139777485202,-0.3117638842790754,21,1.700559139251709
5,A,16,1,0.1,0.0015,1e-05,32,50,6,0.6815526041226844,0.34205812460658647,0.37811710387811287,0.22672768806783594,-0.3034355002445715,32,2.587862968444824
6,A,16,1,0.2,0.0015,1e-05,32,50,6,0.6958413960009107,0.3454528512728102,0.3779486962371117,0.22890688466567008,-0.31789269976379897,13,1.0484778881072998
7,A,16,1,0.1,0.002,1e-05,32,50,6,0.682434296261686,0.34244264018565373,0.382662856717882,0.22942131508004324,-0.2997714395438039,27,2.180572748184204
8,A,16,1,0.2,0.002,1e-05,32,50,6,0.6928531415212118,0.34410174718498754,0.37938527844997716,0.22890658762882032,-0.31346786307123464,14,1.1297862529754639
9,A,16,1,0.1,0.003,1e-05,32,50,6,0.6971515344699153,0.3460863298454043,0.37818190310007377,0.22787718914233135,-0.3189696313698415,9,0.7330832481384277
10,A,16,1,0.2,0.003,1e-05,32,50,6,0.6868289905865176,0.34355524744598287,0.3788853525313927,0.2286058305114563,-0.30794363805512487,17,1.376349925994873
11,A,32,1,0.1,0.0005,1e-05,32,50,6,0.6906494477244454,0.34450236206308604,0.38031376022575,0.22980516174212934,-0.3103356874986954,26,3.005280017852783
