trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,cnn_filters,kernel_size,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,B,16,1,0.2,0.001,1e-05,32,50,6,8,3,0.7043344724371425,0.350119204966296,0.3773576753014032,0.23216319521199624,-0.32697679713573935,8,0.851682186126709
2,B,16,1,0.2,0.001,1e-05,32,50,6,8,4,0.7066491746150114,0.3524087462660525,0.37735691091311974,0.22864875086888742,-0.3292922637018917,9,0.855586051940918
3,B,16,1,0.2,0.001,1e-05,32,50,6,8,5,0.7049055792737274,0.350261848883814,0.3791583584203365,0.23646664853909272,-0.3257472208533909,7,0.820512056350708
4,B,16,1,0.2,0.001,1e-05,32,50,6,8,6,0.6917021196278934,0.3452189788959383,0.378902401011064,0.22902191366632382,-0.3127997186168294,16,1.5237481594085693
5,B,16,1,0.2,0.001,1e-05,32,50,6,8,7,0.7060872323956158,0.35030594327016107,0.3771415845178685,0.23166213629229884,-0.32894564787774727,7,0.804210901260376
6,B,16,1,0.2,0.001,1e-05,32,50,6,12,3,0.70014003925291,0.34830418915244027,0.3779148248136015,0.23176281720658642,-0.3222252144393085,12,1.1884241104125977
7,B,16,1,0.2,0.001,1e-05,32,50,6,12,4,0.7025866320831907,0.3490399920396095,0.3776542234513013,0.22922403167469163,-0.32493240863188944,8,0.7613551616668701
8,B,16,1,0.2,0.001,1e-05,32,50,6,12,5,0.6924527647808498,0.3455487344331727,0.38139836144525235,0.22898008373707637,-0.3110544033355975,18,1.7488420009613037
9,B,16,1,0.2,0.001,1e-05,32,50,6,12,6,0.7052325467298408,0.3502270736800522,0.37827156537164597,0.23484162891921648,-0.32696098135819485,7,0.6738319396972656
10,B,16,1,0.2,0.001,1e-05,32,50,6,12,7,0.704859715705326,0.34967328084534655,0.37611886295098707,0.2284681369254297,-0.32874085275433895,7,0.6908507347106934
11,B,16,1,0.2,0.001,1e-05,32,50,6,16,3,0.6941904555755612,0.3455857627712993,0.37705260780312466,0.22945091849347762,-0.3171378477724366,14,1.2862589359283447
12,B,16,1,0.2,0.001,1e-05,32,50,6,16,4,0.695463775945596,0.3450660783621771,0.37838394051976004,0.23071965428163058,-0.317079835425836,14,1.3407909870147705
13,B,16,1,0.2,0.001,1e-05,32,50,6,16,5,0.6891677231129156,0.34574440412044904,0.37698528203824117,0.22923435304338954,-0.31218244107467447,17,1.5673801898956299
14,B,16,1,0.2,0.001,1e-05,32,50,6,16,6,0.6924892904552725,0.3456503931527979,0.37674199443011036,0.22836663401945356,-0.31574729602516216,14,1.3248581886291504
15,B,16,1,0.2,0.001,1e-05,32,50,6,16,7,0.6877702583244896,0.34330087631716444,0.37704681710814136,0.22684772429252678,-0.3107234412163482,21,1.9485456943511963
16,B,16,1,0.2,0.001,1e-05,32,50,6,20,3,0.7045639580668461,0.3496216316867874,0.3783940559676986,0.22754624093634193,-0.32616990209914754,8,0.7468640804290771
17,B,16,1,0.2,0.001,1e-05,32,50,6,20,4,0.7042139725305117,0.3515589050767139,0.37934463579390565,0.2370676948455053,-0.324869336736606,7,0.670922040939331
18,B,16,1,0.2,0.001,1e-05,32,50,6,20,5,0.7030730521375903,0.35145083584607184,0.37966555954377407,0.23537451823975059,-0.32340749259381624,8,0.7519710063934326
19,B,16,1,0.2,0.001,1e-05,32,50,6,20,6,0.703672246719771,0.35091100442348705,0.3775637449939474,0.23041271971729743,-0.3261085017258236,8,0.771812915802002
20,B,16,1,0.2,0.001,1e-05,32,50,6,20,7,0.7020663429255996,0.3493341330448786,0.3795351414118657,0.23489980959078188,-0.3225312015137339,9,0.8448028564453125
21,B,16,1,0.2,0.001,1e-05,32,50,6,24,3,0.6943351970044629,0.34652201250604237,0.38544207482248427,0.23276156154896546,-0.3088931221819786,13,1.205888032913208
22,B,16,1,0.2,0.001,1e-05,32,50,6,24,4,0.7046524941593215,0.3496283448549399,0.3771989994858876,0.23128315095009172,-0.32745349467343393,7,0.6674978733062744
23,B,16,1,0.2,0.001,1e-05,32,50,6,24,5,0.68106582325832,0.3430895870979903,0.3900546248272326,0.23810940342200562,-0.2910111984310874,21,1.9476048946380615
24,B,16,1,0.2,0.001,1e-05,32,50,6,24,6,0.6966801253582486,0.34742479629898887,0.37969754947885415,0.23577468452004915,-0.3169825758793945,11,1.0684731006622314
25,B,16,1,0.2,0.001,1e-05,32,50,6,24,7,0.6854420979355692,0.34391889219353183,0.37810037090726,0.22907578450352328,-0.3073417270283092,22,2.0063040256500244
26,B,32,1,0.2,0.001,1e-05,32,50,6,8,3,0.6795973507268186,0.34496018290080244,0.3783652017000101,0.2317125647001892,-0.3012321490268085,31,3.8256030082702637
27,B,32,1,0.2,0.001,1e-05,32,50,6,8,4,0.68243503981825,0.34437219035001626,0.3771268063483275,0.22873467108998316,-0.30530823346992253,32,4.05590295791626
28,B,32,1,0.2,0.001,1e-05,32,50,6,8,5,0.7027022568585007,0.3491578348183684,0.37694950602886856,0.23047520090578594,-0.3257527508296322,9,1.1069769859313965
29,B,32,1,0.2,0.001,1e-05,32,50,6,8,6,0.6950469558558452,0.3470552312953982,0.37963011702913185,0.2347841989476217,-0.31541683882671334,14,1.7939577102661133
30,B,32,1,0.2,0.001,1e-05,32,50,6,8,7,0.6761488932382891,0.3458858467771159,0.379878510117505,0.23014293227649463,-0.2962703831207841,33,4.120861768722534
31,B,32,1,0.2,0.001,1e-05,32,50,6,12,3,0.6844815260946259,0.3424166857546846,0.37743617415365444,0.22527643842100653,-0.30704535194097143,22,2.762882947921753
32,B,32,1,0.2,0.001,1e-05,32,50,6,12,4,0.7011234887948036,0.348885757413396,0.37812568242366845,0.23348948081830215,-0.3229978063711351,9,1.1593551635742188
33,B,32,1,0.2,0.001,1e-05,32,50,6,12,5,0.69972078792043,0.3486058826588081,0.377853232997363,0.22950795460826587,-0.321867554923067,10,1.2611162662506104
34,B,32,1,0.2,0.001,1e-05,32,50,6,12,6,0.676193512547541,0.33953059881787967,0.3792237337478038,0.23013791498636385,-0.2969697787997372,29,3.714995861053467
35,B,32,1,0.2,0.001,1e-05,32,50,6,12,7,0.7059692312130403,0.3509080762896441,0.3780683585775717,0.23423792534322702,-0.32790087263546863,7,0.8873720169067383
36,B,32,1,0.2,0.001,1e-05,32,50,6,16,3,0.6785654409396196,0.3429888070673676,0.3785624264217246,0.2276408992975539,-0.30000301451789496,22,2.7363967895507812
37,B,32,1,0.2,0.001,1e-05,32,50,6,16,4,0.6992913175543557,0.349334577781328,0.3788158635023369,0.23486879723699436,-0.32047545405201877,9,0.9121222496032715
38,B,32,1,0.2,0.001,1e-05,32,50,6,16,5,0.7047229682838301,0.35066228568896834,0.37774451469877635,0.2333221071738842,-0.32697845358505373,7,0.8778870105743408
39,B,32,1,0.2,0.001,1e-05,32,50,6,16,6,0.7035567452107964,0.34907352433903105,0.3777274583145317,0.22789518939001227,-0.32582928689626467,7,0.7164139747619629
40,B,32,1,0.2,0.001,1e-05,32,50,6,16,7,0.7053797773883976,0.3506501494850355,0.37725688717141986,0.23183558292157846,-0.32812289021697777,7,0.9719369411468506
41,B,32,1,0.2,0.001,1e-05,32,50,6,20,3,0.7052026698274556,0.35121227429561,0.37701291955976557,0.22840904330887296,-0.32818975026769004,7,0.7267394065856934
42,B,32,1,0.2,0.001,1e-05,32,50,6,20,4,0.682536125557096,0.34246515661096083,0.37890508578011933,0.22894937950273744,-0.30363103977697664,18,1.8447117805480957
43,B,32,1,0.2,0.001,1e-05,32,50,6,20,5,0.7037401474865453,0.35018434897291734,0.38048531432074684,0.23740709428915527,-0.3232548331657985,7,0.6950159072875977
44,B,32,1,0.2,0.001,1e-05,32,50,6,20,6,0.7047438657855474,0.3507936295577499,0.38054382937278725,0.23934894101651877,-0.32420003641276013,7,0.6939818859100342
45,B,32,1,0.2,0.001,1e-05,32,50,6,20,7,0.6755737340064794,0.34215480466644316,0.3813569418997486,0.2312733055145316,-0.29421679210673074,24,2.3536319732666016
46,B,32,1,0.2,0.001,1e-05,32,50,6,24,3,0.7023122199652653,0.35251180045830044,0.38051402915705584,0.2394991599131735,-0.32179819080820943,7,0.6910698413848877
47,B,32,1,0.2,0.001,1e-05,32,50,6,24,4,0.7070997599065454,0.3506751412071722,0.3770011524835939,0.2295355543832298,-0.3300986074229515,7,0.7200868129730225
48,B,32,1,0.2,0.001,1e-05,32,50,6,24,5,0.7040500517592064,0.3512151071386644,0.37686813221683074,0.23019089331317016,-0.3271819195423757,7,0.7566330432891846
49,B,32,1,0.2,0.001,1e-05,32,50,6,24,6,0.7033501340828935,0.3496778124324109,0.37752307562723253,0.23164708140275153,-0.32582705845566096,7,0.6800360679626465
50,B,32,1,0.2,0.001,1e-05,32,50,6,24,7,0.7032523511656666,0.3523484187336365,0.3765487303486082,0.23032148667172822,-0.32670362081705845,7,0.7000818252563477
