trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,cnn_filters,kernel_size,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,B,16,1,0.2,0.001,1e-05,32,50,6,8,3,0.4589144741443386,0.3513879271318466,0.5406328560056494,0.4548115710877793,0.08171838186131075,25,2.4903039932250977
2,B,16,1,0.2,0.001,1e-05,32,50,6,8,4,0.4582626378842096,0.3516625232140285,0.45711478670571387,0.37235450736842135,-0.0011478511784957512,38,3.5899970531463623
3,B,16,1,0.2,0.001,1e-05,32,50,6,8,5,0.45683324786120316,0.3503192092567893,0.41335706744884,0.3300563480162544,-0.043476180412363175,35,3.2736318111419678
4,B,16,1,0.2,0.001,1e-05,32,50,6,8,6,0.4575382833480617,0.3513725389061475,0.3661372819579635,0.2825808826902759,-0.09140100139009816,37,3.4531002044677734
5,B,16,1,0.2,0.001,1e-05,32,50,6,8,7,0.4571218007033803,0.3505057120307124,0.45540640140692856,0.37098182522666034,-0.0017153992964517584,37,3.547952890396118
6,B,16,1,0.2,0.001,1e-05,32,50,6,12,3,0.45773700649144905,0.35109778770645106,0.4602130253291628,0.3751158779660839,0.002476018837713756,41,4.729649782180786
7,B,16,1,0.2,0.001,1e-05,32,50,6,12,4,0.45858749809774707,0.3516972135066951,0.43009081336617405,0.34620064000297424,-0.02849668473157302,28,2.8581771850585938
8,B,16,1,0.2,0.001,1e-05,32,50,6,12,5,0.456199179876977,0.35020364541781923,0.5159940349652609,0.43067075500503177,0.05979485508828386,37,4.234827041625977
9,B,16,1,0.2,0.001,1e-05,32,50,6,12,6,0.4583616889455686,0.3510755304422147,0.4343210717388632,0.35074941921838954,-0.024040617206705417,26,2.58957576751709
10,B,16,1,0.2,0.001,1e-05,32,50,6,12,7,0.45707544019354834,0.35013048308287337,0.40778144283891177,0.3267175516151975,-0.049293997354636576,34,3.7862191200256348
11,B,16,1,0.2,0.001,1e-05,32,50,6,16,3,0.4593823941347633,0.35178067403326585,0.4447547446757707,0.3605487457666277,-0.014627649458992587,28,2.804086923599243
12,B,16,1,0.2,0.001,1e-05,32,50,6,16,4,0.458654280820164,0.3513241179982802,0.4935504829996748,0.4082740370988334,0.03489620217951078,30,3.0630080699920654
13,B,16,1,0.2,0.001,1e-05,32,50,6,16,5,0.45774467643975747,0.3509323572050913,0.5449417143484914,0.45938796114537184,0.0871970379087339,25,2.4770009517669678
14,B,16,1,0.2,0.001,1e-05,32,50,6,16,6,0.4568374323490662,0.35053282725448753,0.6122795518609729,0.5250408762276076,0.15544211951190673,28,2.8310890197753906
15,B,16,1,0.2,0.001,1e-05,32,50,6,16,7,0.45665013087429196,0.34991674546039014,0.43079567465979335,0.34761392090079557,-0.02585445621449861,32,3.2360548973083496
16,B,16,1,0.2,0.001,1e-05,32,50,6,20,3,0.45793968887660647,0.35138802947382286,0.40320832032845716,0.32073167093800475,-0.054731368548149306,29,2.94254207611084
17,B,16,1,0.2,0.001,1e-05,32,50,6,20,4,0.4585023848985534,0.3516381008067128,0.5654234962387311,0.4781836177743912,0.10692111134017773,36,3.63638973236084
18,B,16,1,0.2,0.001,1e-05,32,50,6,20,5,0.45747409548518464,0.3508315366081555,0.49041621022059645,0.40450002611326175,0.03294211473541181,32,3.2292611598968506
19,B,16,1,0.2,0.001,1e-05,32,50,6,20,6,0.457828111031666,0.35081991105947435,0.4165599115081052,0.33451114435455026,-0.04126819952356081,31,3.1382172107696533
20,B,16,1,0.2,0.001,1e-05,32,50,6,20,7,0.45690007522567205,0.3499583402859553,0.45683773843152725,0.3721066558378174,-6.233679414480164e-05,27,2.730363130569458
21,B,16,1,0.2,0.001,1e-05,32,50,6,24,3,0.45855115396664126,0.35197374964060113,0.584428068517613,0.497293392736258,0.12587691455097172,37,3.7434940338134766
22,B,16,1,0.2,0.001,1e-05,32,50,6,24,4,0.45801479492135994,0.35132877799325996,0.41084010763913564,0.32828599163667505,-0.04717468728222429,29,2.9524967670440674
23,B,16,1,0.2,0.001,1e-05,32,50,6,24,5,0.45702567491303364,0.35087288832719876,0.5351700696353769,0.4488939145825568,0.0781443947223433,29,2.934785842895508
24,B,16,1,0.2,0.001,1e-05,32,50,6,24,6,0.45728823956084375,0.3505501199037377,0.41128610209016975,0.3290230037952611,-0.046002137470674,29,2.9576871395111084
25,B,16,1,0.2,0.001,1e-05,32,50,6,24,7,0.45693028153404885,0.3503362561815362,0.4886184603617364,0.4031651324859398,0.03168817882768754,29,3.0073397159576416
26,B,32,1,0.2,0.001,1e-05,32,50,6,8,3,0.45815408927412044,0.3520506613038657,0.37905464391760113,0.2951503388677384,-0.0790994453565193,33,4.627491235733032
27,B,32,1,0.2,0.001,1e-05,32,50,6,8,4,0.45808972946294746,0.3518546228679206,0.36467613038267965,0.2806453857066471,-0.0934135990802678,26,3.7793400287628174
28,B,32,1,0.2,0.001,1e-05,32,50,6,8,5,0.4581023267770963,0.35106456113818973,0.40022036606558165,0.31723783874667805,-0.057881960711514635,22,2.917630910873413
29,B,32,1,0.2,0.001,1e-05,32,50,6,8,6,0.45642346749481993,0.3505436877138804,0.38844412206716006,0.30508103407012593,-0.06797934542765988,33,4.786223888397217
30,B,32,1,0.2,0.001,1e-05,32,50,6,8,7,0.45880593374530004,0.3519310693193239,0.37886305144226273,0.2955796012688855,-0.07994288230303731,21,2.8698999881744385
31,B,32,1,0.2,0.001,1e-05,32,50,6,12,3,0.4586645262957907,0.3523404052877599,0.3859209644706554,0.3029933607937916,-0.0727435618251353,21,2.8563618659973145
32,B,32,1,0.2,0.001,1e-05,32,50,6,12,4,0.45838630279988807,0.35126083699313776,0.39159707581063663,0.3087304841166317,-0.06678922698925144,23,3.2936198711395264
33,B,32,1,0.2,0.001,1e-05,32,50,6,12,5,0.45820333243465006,0.35173466042025064,0.42241467642393576,0.33933969635638395,-0.03578865601071429,24,3.252990245819092
34,B,32,1,0.2,0.001,1e-05,32,50,6,12,6,0.45866135476750336,0.3516928055342188,0.4379099422997886,0.3539522292943056,-0.02075141246771478,18,2.5508861541748047
35,B,32,1,0.2,0.001,1e-05,32,50,6,12,7,0.458725167496998,0.35168560835034823,0.4429936555056833,0.35895342336410396,-0.015731511991314673,20,2.9068732261657715
36,B,32,1,0.2,0.001,1e-05,32,50,6,16,3,0.45851253768327693,0.351378516629625,0.4241718790707437,0.34084324124300625,-0.034340658612533215,23,3.2806482315063477
37,B,32,1,0.2,0.001,1e-05,32,50,6,16,4,0.45851561044231975,0.352092929198791,0.4092356197943015,0.3261834737147605,-0.049279990648018246,22,3.1385741233825684
38,B,32,1,0.2,0.001,1e-05,32,50,6,16,5,0.45849087412457656,0.3518198260745212,0.46859897622746793,0.3835387758152829,0.01010810210289137,19,2.5779547691345215
39,B,32,1,0.2,0.001,1e-05,32,50,6,16,6,0.45793129927818466,0.3518495432238789,0.41904742149035495,0.33651889332600465,-0.0388838777878297,19,2.7442290782928467
40,B,32,1,0.2,0.001,1e-05,32,50,6,16,7,0.4575673519136839,0.3509388126378191,0.4640004022922423,0.378627786559863,0.0064330503785584026,19,2.75734806060791
41,B,32,1,0.2,0.001,1e-05,32,50,6,20,3,0.45828876073032976,0.3513390068341812,0.4751059507819199,0.3893713931667121,0.01681719005159016,20,2.695087194442749
42,B,32,1,0.2,0.001,1e-05,32,50,6,20,4,0.4584234180818826,0.3518467022640936,0.40277932479490136,0.31940885962182064,-0.05564409328698122,24,3.3011889457702637
43,B,32,1,0.2,0.001,1e-05,32,50,6,20,5,0.45834436916689614,0.35216619938222443,0.43370243684650434,0.35022196443538617,-0.0246419323203918,24,3.559621810913086
44,B,32,1,0.2,0.001,1e-05,32,50,6,20,6,0.45763606702548776,0.3508896493992501,0.48234085960760364,0.39711813775727967,0.024704792582115886,24,3.4946138858795166
45,B,32,1,0.2,0.001,1e-05,32,50,6,20,7,0.4569911333937399,0.3505334762971414,0.4346342289270903,0.35066380877102593,-0.02235690446664962,23,3.3234190940856934
46,B,32,1,0.2,0.001,1e-05,32,50,6,24,3,0.4583118678445236,0.3511677566975962,0.4259696573273077,0.34226418932022035,-0.03234221051721592,27,3.9539260864257812
47,B,32,1,0.2,0.001,1e-05,32,50,6,24,4,0.4583513458207266,0.3513304027632959,0.42410118209849373,0.34099630227032335,-0.034250163722232885,19,2.788022994995117
48,B,32,1,0.2,0.001,1e-05,32,50,6,24,5,0.4573426894365512,0.3510278139501704,0.40478686741587006,0.3220311736575164,-0.05255582202068115,27,3.822911262512207
49,B,32,1,0.2,0.001,1e-05,32,50,6,24,6,0.4571406832056278,0.3505457252388529,0.609300873583565,0.5222669590190449,0.1521601903779372,24,3.266069173812866
50,B,32,1,0.2,0.001,1e-05,32,50,6,24,7,0.4577235277977286,0.3515904362401316,0.4703058298355213,0.3847639117821488,0.012582302037792703,19,2.5875120162963867
