trial,hidden_dim,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
13,16,0.002,0.1,32,40,8,0.44311535567665167,5.8199989795684814
6,96,0.0003,0.1,32,40,8,0.44331928405607857,1.2945060729980469
1,48,0.0005,0.3,32,40,8,0.4436160845430155,2.3691489696502686
18,16,0.0015,0.2,32,40,8,0.44402216038264186,5.58004093170166
17,16,0.0003,0.2,32,40,8,0.44402750230359767,5.6030919551849365
23,96,0.0005,0.1,32,40,8,0.4440857666584077,1.4191968441009521
3,96,0.001,0.2,32,40,8,0.4446146104628236,1.7129180431365967
11,96,0.0003,0.3,32,40,8,0.44597750202029823,2.269010066986084
9,96,0.0005,0.3,32,40,8,0.44709823365031537,1.7903079986572266
12,16,0.0003,0.3,32,40,8,0.4474232384631595,5.754238128662109
19,96,0.0003,0.3,64,40,8,0.44746205335167394,1.0531609058380127
5,96,0.0003,0.2,64,40,8,0.4481333203554181,0.9782631397247314
8,64,0.001,0.2,64,40,8,0.4486677065719933,0.7136523723602295
7,48,0.0015,0.2,64,40,8,0.4486850325335501,0.626061201095581
22,96,0.0015,0.3,64,40,8,0.44924627924613814,1.9479060173034668
15,96,0.0005,0.2,64,40,8,0.44938726996010353,0.8608231544494629
2,48,0.0015,0.1,64,40,8,0.4513322330543439,0.841188907623291
21,32,0.0005,0.1,64,40,8,0.4517364746774088,1.5701401233673096
10,32,0.0003,0.2,64,40,8,0.45181456941997955,1.6875779628753662
16,16,0.002,0.1,64,40,8,0.4519686392921334,1.3738760948181152
14,64,0.0015,0.2,64,40,8,0.45216031192816636,0.8401191234588623
20,48,0.002,0.1,64,40,8,0.4523098515374643,0.7867851257324219
24,64,0.0003,0.1,64,40,8,0.45302110541477253,1.3620011806488037
4,16,0.0003,0.2,64,40,8,0.4568559338880924,3.700399875640869
