trial,hidden_dim,cnn_filters,kernel_size,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
24,32,12,3,0.0015,0.1,32,40,8,0.4429123607352796,9.196814060211182
16,48,20,7,0.0005,0.2,32,40,8,0.44487024517478935,2.271155834197998
14,48,24,5,0.0015,0.1,32,40,8,0.44520114758917334,5.384781122207642
8,16,16,7,0.0015,0.2,64,40,8,0.4457963753155589,1.3395650386810303
6,32,24,5,0.0005,0.2,32,40,8,0.4467301867193359,3.490654945373535
9,32,12,7,0.001,0.1,32,40,8,0.4468828361140489,3.463507890701294
19,48,24,7,0.0005,0.1,32,40,8,0.44790546771821443,3.0829169750213623
7,16,8,7,0.001,0.2,32,40,8,0.4490286252971249,3.5231270790100098
2,48,8,7,0.0015,0.2,64,40,8,0.4496094186651903,3.3436999320983887
11,32,12,3,0.001,0.2,32,40,8,0.4497031674249408,11.808003187179565
1,16,16,5,0.0005,0.2,32,40,8,0.44986841244815085,2.4609169960021973
12,32,16,3,0.001,0.1,32,40,8,0.45067193754704177,3.9088900089263916
21,48,24,5,0.0005,0.2,64,40,8,0.45129296919469747,1.1960251331329346
17,16,24,3,0.0005,0.2,64,40,8,0.4513126067104776,2.3695409297943115
3,32,20,5,0.0015,0.1,64,40,8,0.4514287902443909,1.3421132564544678
5,16,20,5,0.0005,0.2,64,40,8,0.45285052997382885,2.2905900478363037
15,16,24,3,0.001,0.2,64,40,8,0.4539947178978165,2.3599979877471924
10,16,16,5,0.001,0.2,64,40,8,0.4543689022875021,2.483013868331909
4,48,16,3,0.0005,0.2,64,40,8,0.4549323941468454,1.8008639812469482
22,32,12,7,0.001,0.1,64,40,8,0.45541354330640327,1.9804506301879883
18,16,20,5,0.0015,0.2,64,40,8,0.45671534624439875,1.1843960285186768
13,16,20,3,0.0005,0.2,64,40,8,0.4571230278623243,2.9924800395965576
23,48,24,3,0.0015,0.2,64,40,8,0.4602973724017322,1.0867209434509277
20,16,20,3,0.0015,0.1,64,40,8,0.4684615221060786,1.777561902999878
