trial,hidden_dim,cnn_filters,kernel_size,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
13,16,20,3,0.0005,0.2,64,40,8,0.48576835221339737,16.974168062210083
16,48,20,7,0.0005,0.2,32,40,8,0.4857742261424823,7.45134711265564
20,16,20,3,0.0015,0.1,64,40,8,0.4863296125764578,10.966027975082397
24,32,12,3,0.0015,0.1,32,40,8,0.48635240708671,7.212857007980347
3,32,20,5,0.0015,0.1,64,40,8,0.4863904016904702,9.482147932052612
7,16,8,7,0.001,0.2,32,40,8,0.4865736605810371,5.721240043640137
1,16,16,5,0.0005,0.2,32,40,8,0.4867398510793531,21.072468996047974
9,32,12,7,0.001,0.1,32,40,8,0.4867453072682451,17.81941509246826
23,48,24,3,0.0015,0.2,64,40,8,0.4868051189005561,7.200277090072632
22,32,12,7,0.001,0.1,64,40,8,0.48681845860636913,4.112288951873779
10,16,16,5,0.001,0.2,64,40,8,0.48710316559995004,4.803084135055542
19,48,24,7,0.0005,0.1,32,40,8,0.4871262030459391,10.94515585899353
8,16,16,7,0.0015,0.2,64,40,8,0.4871858945089708,3.3938257694244385
5,16,20,5,0.0005,0.2,64,40,8,0.48733939924435327,4.315880060195923
14,48,24,5,0.0015,0.1,32,40,8,0.4873735444188304,14.853832960128784
18,16,20,5,0.0015,0.2,64,40,8,0.4874233361326397,11.113385915756226
15,16,24,3,0.001,0.2,64,40,8,0.48750172455800517,4.141999006271362
21,48,24,5,0.0005,0.2,64,40,8,0.48764156554118965,4.145484209060669
2,48,8,7,0.0015,0.2,64,40,8,0.487672087055615,2.6232120990753174
12,32,16,3,0.001,0.1,32,40,8,0.4880021663367543,13.496166229248047
4,48,16,3,0.0005,0.2,64,40,8,0.4880703508774174,4.2598960399627686
17,16,24,3,0.0005,0.2,64,40,8,0.4886620554863661,6.060915946960449
11,32,12,3,0.001,0.2,32,40,8,0.48880362377489683,9.582195281982422
6,32,24,5,0.0005,0.2,32,40,8,0.48949123608660566,11.561538696289062
