trial,hidden_dim,cnn_filters,kernel_size,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
16,48,20,7,0.0005,0.2,32,40,8,0.44468354382615866,2.1523871421813965
6,32,24,5,0.0005,0.2,32,40,8,0.44565119566800665,2.8730711936950684
8,16,16,7,0.0015,0.2,64,40,8,0.4458646028759288,0.978571891784668
9,32,12,7,0.001,0.1,32,40,8,0.44640440432666106,2.4342761039733887
14,48,24,5,0.0015,0.1,32,40,8,0.44719828564559344,2.3141279220581055
12,32,16,3,0.001,0.1,32,40,8,0.44788260095372556,2.8833329677581787
19,48,24,7,0.0005,0.1,32,40,8,0.4481435228473058,2.477252721786499
1,16,16,5,0.0005,0.2,32,40,8,0.4485612120432473,2.164184093475342
24,32,12,3,0.0015,0.1,32,40,8,0.44857979938183973,2.129305839538574
7,16,8,7,0.001,0.2,32,40,8,0.44940631812652354,2.359243631362915
17,16,24,3,0.0005,0.2,64,40,8,0.4498850545672463,1.8767738342285156
3,32,20,5,0.0015,0.1,64,40,8,0.45094409989347134,1.2939200401306152
21,48,24,5,0.0005,0.2,64,40,8,0.4514709942576347,0.994927167892456
11,32,12,3,0.001,0.2,32,40,8,0.4527391942916298,3.3510518074035645
10,16,16,5,0.001,0.2,64,40,8,0.4531523392092057,1.8430969715118408
5,16,20,5,0.0005,0.2,64,40,8,0.4534859288602418,2.1087021827697754
4,48,16,3,0.0005,0.2,64,40,8,0.45385007354713774,1.4341320991516113
22,32,12,7,0.001,0.1,64,40,8,0.454039737635604,1.513551950454712
18,16,20,5,0.0015,0.2,64,40,8,0.4543667008981395,1.1489191055297852
2,48,8,7,0.0015,0.2,64,40,8,0.4545828719377871,0.9732711315155029
15,16,24,3,0.001,0.2,64,40,8,0.45480993456075697,2.082293748855591
13,16,20,3,0.0005,0.2,64,40,8,0.4564194782537998,2.257450819015503
23,48,24,3,0.0015,0.2,64,40,8,0.4577751280304752,0.9914000034332275
20,16,20,3,0.0015,0.1,64,40,8,0.4643621173466909,1.4327638149261475
