trial,hidden_dim,cnn_filters,kernel_size,lr,dropout,batch_size,epochs,patience,val_rmse_scaled,duration_sec
13,16,20,3,0.0005,0.2,64,40,8,0.4853950680551328,15.827966928482056
16,48,20,7,0.0005,0.2,32,40,8,0.48558274909184757,7.107964038848877
20,16,20,3,0.0015,0.1,64,40,8,0.4861587290677659,7.912714958190918
24,32,12,3,0.0015,0.1,32,40,8,0.4864705865240507,7.569144010543823
18,16,20,5,0.0015,0.2,64,40,8,0.48667512486921083,7.926687955856323
7,16,8,7,0.001,0.2,32,40,8,0.4867143143226724,5.3863749504089355
22,32,12,7,0.001,0.1,64,40,8,0.4868711312621422,3.6895060539245605
15,16,24,3,0.001,0.2,64,40,8,0.4869024983060708,10.658776998519897
3,32,20,5,0.0015,0.1,64,40,8,0.48698492165767143,5.907768726348877
9,32,12,7,0.001,0.1,32,40,8,0.48703668789280036,8.548859119415283
14,48,24,5,0.0015,0.1,32,40,8,0.487055665567743,8.109967947006226
10,16,16,5,0.001,0.2,64,40,8,0.4871572695804708,4.555788040161133
19,48,24,7,0.0005,0.1,32,40,8,0.4872056072930749,8.949222803115845
8,16,16,7,0.0015,0.2,64,40,8,0.4873317168237127,3.436056137084961
21,48,24,5,0.0005,0.2,64,40,8,0.48744412798923553,3.998202085494995
5,16,20,5,0.0005,0.2,64,40,8,0.4874794977107293,4.020596027374268
23,48,24,3,0.0015,0.2,64,40,8,0.4876130025058054,3.7463221549987793
2,48,8,7,0.0015,0.2,64,40,8,0.48763360827440166,2.4664230346679688
4,48,16,3,0.0005,0.2,64,40,8,0.48788727850029723,3.6474649906158447
17,16,24,3,0.0005,0.2,64,40,8,0.48800708703216394,11.46338415145874
12,32,16,3,0.001,0.1,32,40,8,0.4880149630187059,8.668347835540771
1,16,16,5,0.0005,0.2,32,40,8,0.4882575906743606,7.363641262054443
11,32,12,3,0.001,0.2,32,40,8,0.48828290672021185,9.383704900741577
6,32,24,5,0.0005,0.2,32,40,8,0.4883628452789811,10.927114009857178
