trial,model,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,epochs,patience,cnn_filters,kernel_size,train_rmse_scaled,train_mae_scaled,val_rmse_scaled,val_mae_scaled,generalization_gap_rmse,epochs_ran,duration_sec
1,B,16,1,0.2,0.001,1e-05,32,50,6,8,3,0.4608136576288851,0.35351453393472315,0.3992271490152411,0.31582546444567994,-0.06158650861364401,19,2.1855311393737793
2,B,16,1,0.2,0.001,1e-05,32,50,6,8,4,0.4618603642754665,0.3536457516297306,0.3664231757948776,0.28317457306103133,-0.09543718848058891,23,2.371108055114746
3,B,16,1,0.2,0.001,1e-05,32,50,6,8,5,0.4603105176423182,0.3538280539572836,0.4408763275650652,0.3568416442764558,-0.019434190077253,20,2.3754630088806152
4,B,16,1,0.2,0.001,1e-05,32,50,6,8,6,0.4596907873574903,0.3520334044212387,0.3647914212190179,0.28106396084945506,-0.09489936613847239,20,1.9268748760223389
5,B,16,1,0.2,0.001,1e-05,32,50,6,8,7,0.4608278292774613,0.35208639343531006,0.43022854517907533,0.3479593071075291,-0.03059928409838597,21,2.42146897315979
6,B,16,1,0.2,0.001,1e-05,32,50,6,12,3,0.46057145746346456,0.35237425278343976,0.391206927439971,0.30944048066178953,-0.06936453002349358,23,2.5533010959625244
7,B,16,1,0.2,0.001,1e-05,32,50,6,12,4,0.46131446783635643,0.35364010264733975,0.44252702565538504,0.35795358947864514,-0.018787442180971392,20,1.9748361110687256
8,B,16,1,0.2,0.001,1e-05,32,50,6,12,5,0.4597444743875803,0.35227987334202654,0.4384186615318564,0.354565158499229,-0.021325812855723936,19,1.8594391345977783
9,B,16,1,0.2,0.001,1e-05,32,50,6,12,6,0.4601834920783177,0.3527729815865301,0.38813330925489564,0.30540141363340245,-0.07205018282342207,16,1.5364658832550049
10,B,16,1,0.2,0.001,1e-05,32,50,6,12,7,0.45962742648710003,0.3516658060757828,0.37362977823284105,0.29049656444163235,-0.08599764825425898,18,1.7931609153747559
11,B,16,1,0.2,0.001,1e-05,32,50,6,16,3,0.4600927213338452,0.3525460215312167,0.3828919025421308,0.2998709079623319,-0.07720081879171442,26,2.4106900691986084
12,B,16,1,0.2,0.001,1e-05,32,50,6,16,4,0.4595293187200451,0.3525413363564213,0.36485503083577703,0.28085828099631244,-0.09467428788426807,22,2.1044089794158936
13,B,16,1,0.2,0.001,1e-05,32,50,6,16,5,0.46018735249595116,0.353586075831303,0.4156647146125978,0.332528590967696,-0.044522637883353366,16,1.4882080554962158
14,B,16,1,0.2,0.001,1e-05,32,50,6,16,6,0.4618394355622029,0.3528141723964364,0.4199293420949418,0.3377520829168863,-0.0419100934672611,15,1.4483630657196045
15,B,16,1,0.2,0.001,1e-05,32,50,6,16,7,0.461324676999581,0.35272516290485895,0.391498875035278,0.3089575358382157,-0.06982580196430299,15,1.406358003616333
16,B,16,1,0.2,0.001,1e-05,32,50,6,20,3,0.45841110161317916,0.3521875856231724,0.3781917666281455,0.29532637863164607,-0.08021933498503364,26,2.623763084411621
17,B,16,1,0.2,0.001,1e-05,32,50,6,20,4,0.4600065612527726,0.3527469394136525,0.39659633711827463,0.31296115487815274,-0.06341022413449798,16,1.5837509632110596
18,B,16,1,0.2,0.001,1e-05,32,50,6,20,5,0.4603534069180387,0.3526758308895761,0.39542471267950313,0.31410624375878865,-0.06492869423853559,16,1.4954860210418701
19,B,16,1,0.2,0.001,1e-05,32,50,6,20,6,0.4596403048294651,0.35167041101751684,0.37314624210824915,0.29103576457266955,-0.08649406272121596,18,1.7427427768707275
20,B,16,1,0.2,0.001,1e-05,32,50,6,20,7,0.46112172816442815,0.3519722751649131,0.38039349208008244,0.29877038242744347,-0.0807282360843457,14,1.3153541088104248
21,B,16,1,0.2,0.001,1e-05,32,50,6,24,3,0.4590705986504169,0.35258513771358874,0.39150123487604643,0.30923030487868447,-0.06756936377437045,26,2.5584042072296143
22,B,16,1,0.2,0.001,1e-05,32,50,6,24,4,0.46303679145345156,0.35369813249024995,0.383728012776878,0.30074551316885645,-0.07930877867657354,12,1.1708347797393799
23,B,16,1,0.2,0.001,1e-05,32,50,6,24,5,0.45901284798098707,0.3522588847582359,0.3731274142656648,0.29029656381493885,-0.08588543371532226,17,1.6184208393096924
24,B,16,1,0.2,0.001,1e-05,32,50,6,24,6,0.4593262334792953,0.352211489784672,0.36444457916451234,0.280471228010049,-0.09488165431478296,16,1.5290827751159668
25,B,16,1,0.2,0.001,1e-05,32,50,6,24,7,0.4622940601701926,0.3545290032928237,0.4837090630044845,0.3981135922788447,0.02141500283429193,16,1.5164690017700195
26,B,32,1,0.2,0.001,1e-05,32,50,6,8,3,0.4596698105341423,0.3533063876092561,0.366078657200502,0.2826157898174753,-0.09359115333364032,32,4.018030881881714
27,B,32,1,0.2,0.001,1e-05,32,50,6,8,4,0.45896372111731853,0.3520911148885714,0.37759601835614587,0.2937890691824365,-0.08136770276117267,27,3.4772958755493164
28,B,32,1,0.2,0.001,1e-05,32,50,6,8,5,0.4622393406553312,0.35259326909208316,0.39341078775556665,0.31045322665222835,-0.06882855289976453,14,1.7290339469909668
29,B,32,1,0.2,0.001,1e-05,32,50,6,8,6,0.4595793623616849,0.3521819596034545,0.3895694876025265,0.3050621285672881,-0.07000987475915837,19,2.422380208969116
30,B,32,1,0.2,0.001,1e-05,32,50,6,8,7,0.4609769508252141,0.3538641160715799,0.36688561947088566,0.28257009278066125,-0.09409133135432846,15,1.8644158840179443
31,B,32,1,0.2,0.001,1e-05,32,50,6,12,3,0.4605652090182378,0.3528793750632249,0.36858111090562434,0.2848858723735815,-0.09198409811261343,21,2.6957590579986572
32,B,32,1,0.2,0.001,1e-05,32,50,6,12,4,0.46158056497759237,0.3537264690707467,0.4637074747263644,0.3780402145512658,0.0021269097487720545,15,1.954754114151001
33,B,32,1,0.2,0.001,1e-05,32,50,6,12,5,0.4595776267671762,0.3521796946090974,0.3901652851981445,0.3076619076879266,-0.0694123415690317,16,2.0299930572509766
34,B,32,1,0.2,0.001,1e-05,32,50,6,12,6,0.4608043692840482,0.3518986615680707,0.43156737302213444,0.3492041139897509,-0.029236996261913784,15,1.9210841655731201
35,B,32,1,0.2,0.001,1e-05,32,50,6,12,7,0.45984550049268713,0.3529078740031322,0.48781582643979526,0.40187385201634473,0.027970325947108132,15,1.8920361995697021
36,B,32,1,0.2,0.001,1e-05,32,50,6,16,3,0.4593189218218544,0.35246581958927725,0.3609938226604867,0.27741500268388,-0.09832509916136772,21,2.6303350925445557
37,B,32,1,0.2,0.001,1e-05,32,50,6,16,4,0.45915867930198223,0.35256844172674856,0.39651261409688654,0.3143334542209307,-0.06264606520509569,23,2.3395111560821533
38,B,32,1,0.2,0.001,1e-05,32,50,6,16,5,0.459336134799068,0.3521995533532553,0.3744522619350593,0.2905753113034843,-0.08488387286400867,16,2.0120861530303955
39,B,32,1,0.2,0.001,1e-05,32,50,6,16,6,0.4591626788824695,0.3517264106806514,0.4042860751018453,0.32273359510860916,-0.0548766037806242,15,1.5145058631896973
40,B,32,1,0.2,0.001,1e-05,32,50,6,16,7,0.46072524844040874,0.3539107080100818,0.4033204437739155,0.32133737016463215,-0.057404804666493225,14,1.7334442138671875
