date,FX_rate,policy_spread,M2_KOR,M2_USA,block_start,block_end,anomaly_seq_day
1995-01-31,786.7,-0.0199999999999995,149214.65483870966,8822.7,1995-01-31,1995-01-31,1
1995-02-02,786.7,-0.0199999999999995,149241.70714285714,8822.7,1995-02-02,1995-02-02,2
1995-02-08,789.9,-0.0199999999999995,149469.15,8822.7,1995-02-08,1995-02-09,3
1995-02-09,790.3,-0.0199999999999995,149507.05714285714,8822.7,1995-02-08,1995-02-09,4
1995-02-14,793.2,-0.0199999999999995,149696.59285714285,8822.7,1995-02-14,1995-02-16,5
1995-02-15,791.0,-0.0199999999999995,149734.5,8822.7,1995-02-14,1995-02-16,6
1995-02-16,791.3,-0.0199999999999995,149772.40714285715,8822.7,1995-02-14,1995-02-16,7
1995-02-18,794.8,-0.0199999999999995,149848.22142857144,8822.7,1995-02-18,1995-02-18,8
1995-02-24,788.1,-0.0199999999999995,150075.6642857143,8822.7,1995-02-24,1995-02-25,9
1995-02-25,787.1,-0.0199999999999995,150113.57142857145,8822.7,1995-02-24,1995-02-25,10
1995-03-01,786.0,-0.0199999999999995,150265.2,8822.7,1995-03-01,1995-03-01,11
1995-03-03,789.5,-0.0199999999999995,150452.83225806453,8822.7,1995-03-03,1995-03-03,12
1995-03-05,790.8,-0.0199999999999995,150640.46451612905,8822.7,1995-03-05,1995-03-05,13
1995-03-12,783.3,-0.0199999999999995,151297.17741935485,8822.7,1995-03-12,1995-03-12,14
1995-03-14,779.9,-0.0199999999999995,151484.80967741937,8822.7,1995-03-14,1995-03-14,15
1995-03-18,775.7,-0.0199999999999995,151860.07419354838,8822.7,1995-03-18,1995-03-21,16
1995-03-19,775.7,-0.0199999999999995,151953.89032258064,8822.7,1995-03-18,1995-03-21,17
1995-03-20,775.7,-0.0199999999999995,152047.7064516129,8822.7,1995-03-18,1995-03-21,18
1995-03-21,774.5,-0.0199999999999995,152141.52258064516,8822.7,1995-03-18,1995-03-21,19
1995-03-23,768.4,-0.0199999999999995,152329.15483870968,8822.7,1995-03-23,1995-03-23,20
1995-03-25,770.9,-0.0199999999999995,152516.7870967742,8822.7,1995-03-25,1995-03-25,21
1995-04-02,771.4,-0.0199999999999995,153232.83,8822.7,1995-04-02,1995-04-02,22
1995-04-14,770.4,-0.0199999999999995,153944.79,8822.7,1995-04-14,1995-04-16,23
1995-04-15,770.2,-0.0199999999999995,154004.12,8822.7,1995-04-14,1995-04-16,24
1995-04-16,770.2,-0.0199999999999995,154063.45,8822.7,1995-04-14,1995-04-16,25
1995-04-21,765.7,-0.0199999999999995,154360.1,8822.7,1995-04-21,1995-04-21,26
1995-04-28,760.9,-0.0199999999999995,154775.41,8822.7,1995-04-28,1995-04-29,27
1995-04-29,761.8,-0.0199999999999995,154834.74,8822.7,1995-04-28,1995-04-29,28
1995-05-01,761.8,-0.0199999999999995,154953.4,8822.7,1995-05-01,1995-05-01,29
1995-05-05,762.3,-0.0199999999999995,154968.66451612904,8822.7,1995-05-05,1995-05-05,30
1995-05-08,762.5,-0.0199999999999995,154980.11290322582,8822.7,1995-05-08,1995-05-09,31
1995-05-09,760.6,-0.0199999999999995,154983.92903225805,8822.7,1995-05-08,1995-05-09,32
1995-05-13,763.3,-0.0199999999999995,154999.1935483871,8822.7,1995-05-13,1995-05-13,33
1995-05-18,761.9,-0.0199999999999995,155018.2741935484,8822.7,1995-05-18,1995-05-19,34
1995-05-19,761.5,-0.0199999999999995,155022.09032258065,8822.7,1995-05-18,1995-05-19,35
1995-05-25,760.3,-0.0199999999999995,155044.9870967742,8822.7,1995-05-25,1995-05-25,36
1995-05-27,760.6,-0.0199999999999995,155052.6193548387,8822.7,1995-05-27,1995-05-27,37
