feature,importance_val
Energy_YoY_lag2,0.4283134
Food_YoY,0.3413963
Shelter_YoY_lag2,0.34094974
Durables_YoY_lag3,0.2784482
Headline_MoM_lag1,0.26834562
Core_YoY_lag3,0.24535155
Shelter_YoY_lag1,0.23424667
MedicalCare_MoM_lag3,0.17190678
Apparel_MoM_lag1,0.15802902
Transportation_YoY,0.14856827
MedicalCare_YoY_lag3,0.14812434
Transportation_MoM_lag2,0.14274035
MedicalCare_MoM_lag2,0.12622833
Apparel_YoY,0.12322157
Food_MoM,0.10148568
Shelter_MoM_lag3,0.099180974
Energy_YoY_lag3,0.09659049
Food_MoM_lag1,0.09439821
Headline_YoY,0.07740383
Food_YoY_lag3,0.06110971
Energy_MoM_lag2,0.058868393
Energy_MoM_lag1,0.05210553
Headline_MoM_lag2,0.048129193
Transportation_YoY_lag3,0.042382184
MedicalCare_MoM_lag1,0.039899368
Core_YoY,0.03370145
Services_MoM,0.032740798
Apparel_MoM,0.03104587
Durables_MoM_lag1,0.029809888
Core_YoY_lag1,0.029767463
Transportation_MoM_lag1,0.026663532
Apparel_MoM_lag3,0.02254372
Shelter_MoM,0.02252232
Energy_MoM_lag3,0.020679893
Services_YoY_lag1,0.018514382
Apparel_MoM_lag2,0.018129207
Durables_YoY_lag2,0.013320517
MedicalCare_MoM,0.01204399
Services_MoM_lag3,0.010060686
Transportation_MoM_lag3,0.00949354
Services_MoM_lag1,0.007947273
Core_MoM_lag1,0.007800301
Core_YoY_lag2,0.0075506526
Services_YoY_lag2,0.007398387
Headline_YoY_lag2,0.006982293
Durables_MoM_lag3,0.0060166465
MedicalCare_YoY,0.0058140815
Headline_MoM_lag3,0.0046366057
Core_MoM,0.0038662138
Energy_MoM,0.0030080446
Services_YoY,0.0020082851
Services_MoM_lag2,0.0
Apparel_YoY_lag2,0.0
Apparel_YoY_lag1,0.0
Durables_YoY_lag1,0.0
Transportation_YoY_lag2,0.0
Durables_MoM_lag2,0.0
Apparel_YoY_lag3,0.0
Headline_MoM,0.0
Food_MoM_lag3,0.0
Transportation_YoY_lag1,0.0
MedicalCare_YoY_lag2,0.0
Shelter_YoY,0.0
Energy_YoY,0.0
Transportation_MoM,0.0
Durables_MoM,0.0
Durables_YoY,0.0
Headline_YoY_lag1,0.0
Headline_YoY_lag3,0.0
Core_MoM_lag2,0.0
Core_MoM_lag3,0.0
Shelter_MoM_lag1,0.0
Shelter_MoM_lag2,0.0
Shelter_YoY_lag3,0.0
Food_MoM_lag2,0.0
Food_YoY_lag1,0.0
Food_YoY_lag2,0.0
Energy_YoY_lag1,0.0
MedicalCare_YoY_lag1,0.0
Services_YoY_lag3,0.0
