feature,imp_baseline,imp_anomaly,imp_delta
Core_MoM_lag3,0.0003589829,0.009923554,0.009564571
Shelter_MoM_lag3,0.00052614656,0.0076111564,0.00708501
Core_MoM_lag1,0.00023376216,0.0023018762,0.002068114
Core_YoY_lag2,0.000526458,0.0025592565,0.0020327985
Food_MoM_lag1,0.0,0.0018036772,0.0018036772
MedicalCare_YoY_lag1,0.0006341378,0.0023722076,0.0017380698
Apparel_YoY_lag2,0.00010444985,0.0010852418,0.000980792
Durables_MoM_lag1,0.0,0.0009640543,0.0009640543
Transportation_MoM,0.00020354752,0.0011304101,0.0009268626
Apparel_MoM_lag2,0.0,0.0009265786,0.0009265786
Durables_MoM_lag3,0.0,0.0007828884,0.0007828884
Shelter_MoM_lag1,0.0,0.0007297167,0.0007297167
Energy_MoM,0.0006720079,0.0012775715,0.00060556363
Durables_MoM,2.5897494e-05,0.00060327083,0.0005773733
Services_MoM_lag1,3.2907185e-05,0.0005762355,0.00054332835
Apparel_MoM_lag3,0.00020553866,0.0007436901,0.0005381515
Food_YoY_lag2,0.0,0.00045245068,0.00045245068
MedicalCare_MoM_lag1,0.00022015514,0.00063856633,0.0004184112
Transportation_MoM_lag1,0.00010964813,0.00041952042,0.0003098723
Services_YoY_lag1,0.00032307438,0.00062135974,0.00029828536
Energy_MoM_lag1,2.3477798e-05,0.0003184819,0.0002950041
Headline_YoY_lag1,0.00011370474,0.0003889842,0.00027527945
Transportation_YoY,0.00017930398,0.0004416464,0.00026234242
Energy_YoY_lag3,9.4435105e-05,0.00032508984,0.00023065474
Core_MoM,0.0003084091,0.0005256478,0.00021723867
Headline_MoM_lag2,8.573396e-05,0.00029674935,0.00021101539
Headline_MoM_lag1,0.00041497278,0.0006231421,0.00020816934
Headline_MoM_lag3,0.00010255,0.0003059198,0.0002033698
Food_YoY_lag1,0.0,0.0001719887,0.0001719887
Transportation_YoY_lag3,7.1996714e-05,0.00023065807,0.00015866137
MedicalCare_MoM,0.00019347,0.00034356242,0.00015009243
Core_MoM_lag2,0.0,0.0001497589,0.0001497589
MedicalCare_MoM_lag3,0.00015634671,0.00028029783,0.00012395112
Core_YoY,0.00042135408,0.0005273842,0.000106030144
Durables_YoY_lag2,0.0,8.0978345e-05,8.0978345e-05
Apparel_MoM,6.2101826e-05,0.00013151154,6.940971e-05
Core_YoY_lag1,0.0016127838,0.0016819672,6.9183414e-05
Food_YoY,2.8024997e-06,5.9729053e-05,5.6926554e-05
MedicalCare_YoY_lag3,0.0,4.100391e-05,4.100391e-05
Durables_YoY,0.0004515248,0.0004788915,2.736671e-05
Shelter_MoM,8.010209e-05,9.424266e-05,1.4140576e-05
Services_YoY_lag3,0.0,0.0,0.0
Shelter_YoY_lag3,0.0,0.0,0.0
Services_YoY_lag2,0.0,0.0,0.0
Shelter_MoM_lag2,0.0003658477,0.00035703517,-8.812523e-06
Shelter_YoY_lag1,0.00019497097,0.00016465575,-3.031522e-05
Services_YoY,4.2199255e-05,0.0,-4.2199255e-05
Headline_YoY,0.00021010326,0.00014872159,-6.138167e-05
Shelter_YoY_lag2,0.00012254421,4.9679194e-05,-7.286502e-05
Headline_MoM,0.0015032224,0.0014288657,-7.435668e-05
Apparel_MoM_lag1,7.9344216e-05,0.0,-7.9344216e-05
Energy_YoY_lag2,0.00015447446,5.5245182e-05,-9.922928e-05
Transportation_MoM_lag2,0.00036149594,0.00025119167,-0.000110304274
Services_MoM_lag3,0.0001811755,0.0,-0.0001811755
Food_YoY_lag3,0.00038964252,0.00020620371,-0.00018343881
Apparel_YoY_lag3,0.00028713595,9.1733804e-05,-0.00019540214
Energy_YoY,0.00027270542,6.115383e-05,-0.0002115516
MedicalCare_YoY_lag2,0.00024621643,0.0,-0.00024621643
Shelter_YoY,0.00051082677,0.00025624453,-0.00025458224
Apparel_YoY_lag1,0.00064250757,0.0003868046,-0.00025570297
Energy_YoY_lag1,0.0004758554,0.00021570857,-0.00026014683
Energy_MoM_lag3,0.00036647302,9.56356e-05,-0.00027083742
Food_MoM_lag2,0.00027477293,0.0,-0.00027477293
Energy_MoM_lag2,0.00049950375,0.00013924517,-0.00036025856
Apparel_YoY,0.00036885933,0.0,-0.00036885933
Durables_YoY_lag3,0.00039534303,1.690927e-05,-0.00037843376
Food_MoM_lag3,0.00049103296,0.00011153131,-0.00037950164
Services_MoM,0.00068833376,0.00029554463,-0.00039278914
Durables_YoY_lag1,0.0004318018,0.0,-0.0004318018
Headline_YoY_lag2,0.00046921405,0.0,-0.00046921405
MedicalCare_MoM_lag2,0.0005543189,7.059156e-05,-0.00048372732
Durables_MoM_lag2,0.0007407139,0.00018196573,-0.00055874814
MedicalCare_YoY,0.001599315,0.00096477737,-0.0006345376
Transportation_YoY_lag1,0.0007491211,0.0,-0.0007491211
Transportation_MoM_lag3,0.0010965463,0.00024236867,-0.00085417763
Headline_YoY_lag3,0.0009861703,9.367264e-05,-0.0008924976
Core_YoY_lag3,0.0017943628,0.00083729054,-0.00095707225
Services_MoM_lag2,0.0017795624,0.00058737566,-0.0011921867
Transportation_YoY_lag2,0.0013402364,9.270344e-05,-0.0012475329
Food_MoM,0.0015812066,0.00018499799,-0.0013962085
