feature,importance_val
Energy_YoY_lag2,0.30395383
Core_YoY_lag3,0.24399246
Durables_YoY_lag3,0.2438621
MedicalCare_MoM_lag3,0.18181154
Headline_MoM_lag1,0.1785282
Transportation_YoY,0.16918927
Food_YoY,0.14006689
Transportation_MoM_lag2,0.12895076
Shelter_YoY_lag2,0.11302838
MedicalCare_YoY_lag3,0.11246708
Apparel_YoY,0.09705323
Energy_YoY_lag3,0.09574958
Shelter_YoY_lag1,0.09447138
Apparel_YoY_lag1,0.093765795
Apparel_MoM_lag1,0.08190754
Headline_YoY,0.07984081
Transportation_MoM_lag1,0.06393254
Energy_MoM_lag3,0.056459904
Shelter_MoM,0.054949872
MedicalCare_MoM_lag2,0.0459546
Services_YoY_lag1,0.044601236
Headline_MoM_lag2,0.044407513
Food_YoY_lag3,0.04293518
Food_MoM,0.039414294
Food_YoY_lag1,0.037644953
Energy_MoM_lag2,0.029402943
Apparel_MoM,0.026799433
Apparel_MoM_lag3,0.021661766
Services_YoY_lag2,0.019549498
Transportation_MoM,0.01909988
MedicalCare_YoY_lag2,0.018486904
Durables_MoM_lag3,0.018255979
Food_MoM_lag1,0.017692318
Services_MoM,0.01677491
Shelter_MoM_lag3,0.015992638
Shelter_MoM_lag1,0.013511451
Services_MoM_lag1,0.013365457
Energy_MoM,0.013281655
Core_MoM,0.012474804
MedicalCare_MoM_lag1,0.012401156
Transportation_YoY_lag3,0.01116413
Energy_MoM_lag1,0.010995871
Core_MoM_lag1,0.010092426
Headline_MoM,0.01007249
Headline_MoM_lag3,0.009978399
Durables_YoY,0.008414267
MedicalCare_YoY,0.008265622
Durables_YoY_lag1,0.008071082
Core_YoY,0.007740103
Headline_YoY_lag1,0.0067879925
Shelter_YoY,0.0065165446
Durables_MoM,0.0059767044
Apparel_MoM_lag2,0.005965152
Food_MoM_lag3,0.0055599036
Apparel_YoY_lag3,0.004732911
MedicalCare_MoM,0.0046103927
Transportation_MoM_lag3,0.0041290927
Durables_MoM_lag1,0.0019673058
Durables_YoY_lag2,0.0017511293
Core_MoM_lag2,0.0016825395
Energy_YoY_lag1,0.0015504997
Energy_YoY,0.0
Services_MoM_lag3,0.0
Services_MoM_lag2,0.0
Services_YoY,0.0
Headline_YoY_lag2,0.0
Headline_YoY_lag3,0.0
Durables_MoM_lag2,0.0
MedicalCare_YoY_lag1,0.0
Apparel_YoY_lag2,0.0
Core_MoM_lag3,0.0
Core_YoY_lag1,0.0
Core_YoY_lag2,0.0
Shelter_MoM_lag2,0.0
Shelter_YoY_lag3,0.0
Transportation_YoY_lag2,0.0
Transportation_YoY_lag1,0.0
Food_MoM_lag2,0.0
Food_YoY_lag2,0.0
Services_YoY_lag3,0.0
