Date,Foreign_Stock_Investment,Foreign_Bond_Investment,KOSPI,BSI_All_Industry,CSI_CCSI
1995-01-01,-347.4,770.0,965.3308695652174,,
1995-02-01,-198.2,588.4,929.6839130434782,,
1995-03-01,-74.0,1129.6,942.3757692307693,,
1995-04-01,82.7,937.1,902.7358333333333,,
1995-05-01,-63.9,1341.4,884.2308,,
1995-06-01,419.0,792.5,884.24625,,
1995-07-01,1710.4,584.7,945.6604,,
1995-08-01,792.1,967.1,916.891923076923,,
1995-09-01,896.1,751.8,971.1458333333334,,
1995-10-01,563.8,588.8,998.9472000000001,,
1995-11-01,320.1,659.3,957.3215384615385,,
1995-12-01,118.2,1289.7,918.1286363636365,,
1996-01-01,109.9,109.0,866.1228,,
1996-02-01,283.3,766.4,874.7804347826087,,
1996-03-01,446.6,1423.6,857.4011999999999,,
1996-04-01,1741.4,914.0,920.1683333333334,,
1996-05-01,486.7,1417.4,942.5928,,
1996-06-01,399.8,1672.8,867.6908333333332,,
1996-07-01,592.8,1197.5,832.2315384615384,,
1996-08-01,207.6,1667.9,805.4111538461538,,
1996-09-01,263.6,1267.1,783.414090909091,,
1996-10-01,910.5,953.0,806.713076923077,,
1996-11-01,232.8,2449.5,740.5680769230769,,
1996-12-01,278.6,1722.6,690.6136363636364,,
1997-01-01,471.2,372.7,669.6311999999999,,
1997-02-01,-54.2,921.3,698.1172727272727,,
1997-03-01,268.9,1071.5,656.6612,,
1997-04-01,-122.2,1129.8,694.2955999999999,,
1997-05-01,1376.2,752.8,713.09875,,
1997-06-01,1242.1,1926.9,765.2279166666667,,
1997-07-01,1179.2,1759.0,752.266923076923,,
1997-08-01,55.9,772.0,740.4696,,
1997-09-01,-481.6,2324.0,676.5386956521739,,
1997-10-01,-759.3,1531.5,584.0465384615384,,
1997-11-01,-984.1,-474.9,494.0664,,
1997-12-01,332.9,-1303.5,390.30181818181813,,
1998-01-01,913.8,-686.3,475.2386363636364,,
1998-02-01,1414.7,555.4,525.20875,,
1998-03-01,425.4,364.9,523.0065384615384,,
1998-04-01,158.8,3534.0,444.21846153846155,,
1998-05-01,79.8,-444.7,356.3241666666667,,
1998-06-01,-253.9,-1046.1,313.26416666666665,,
1998-07-01,-78.7,-722.6,327.78499999999997,,
1998-08-01,-106.2,-1358.3,312.8036,,
1998-09-01,-10.8,-1319.1,312.1480769230769,,
1998-10-01,399.5,-702.1,358.7925,,
1998-11-01,417.6,-163.1,429.17400000000004,,
1998-12-01,496.2,-1093.4,524.7189999999999,,
1999-01-01,1177.1,200.9,596.46875,,
1999-02-01,325.9,130.8,532.9652941176471,,
1999-03-01,1279.2,-1775.5,586.1722727272728,,
1999-04-01,1643.6,862.5,721.1214285714285,,
1999-05-01,2550.4,-639.2,745.4145000000001,,
1999-06-01,413.0,-925.4,841.3686363636364,,
1999-07-01,296.3,-344.8,971.4322727272728,,
1999-08-01,-245.1,-1654.2,933.07,,
1999-09-01,-667.0,516.3,926.882,,
1999-10-01,1108.8,-72.0,828.5757142857143,,
1999-11-01,2820.1,-773.0,950.1222727272726,,
1999-12-01,1369.9,309.3,984.484,,
2000-01-01,1416.7,-320.7,950.5795833333333,,
2000-02-01,1716.8,662.9,902.2495652173914,,
2000-03-01,3665.3,1496.8,878.3809090909091,,
2000-04-01,235.5,673.9,779.7461111111111,,
2000-05-01,786.5,-1693.1,720.7684999999999,,
2000-06-01,2301.9,-272.1,792.7808695652174,,
2000-07-01,819.8,-70.0,795.4180952380951,,
2000-08-01,1207.0,11.4,720.3481818181818,,
2000-09-01,-872.4,-107.5,622.915,,
2000-10-01,54.9,145.0,548.0661904761904,,
2000-11-01,1066.1,-434.8,544.0863636363637,,
2000-12-01,695.5,-488.4,526.360588235294,,
2001-01-01,2327.4,-7.1,585.0178947368421,,
2001-02-01,278.8,139.6,593.3985,,
2001-03-01,130.9,-853.7,543.8890476190476,,
2001-04-01,980.0,287.6,530.2665,,
2001-05-01,765.5,62.1,600.7336363636364,,
2001-06-01,383.0,885.5,602.9305,,
2001-07-01,1802.4,311.4,554.1138095238096,,
2001-08-01,398.1,-131.5,567.6463636363636,,
2001-09-01,-349.0,-1698.6,504.04449999999997,,
2001-10-01,1592.2,483.3,523.2745,,
2001-11-01,1501.3,534.9,604.920909090909,,
2001-12-01,455.1,1948.1,665.9457894736842,,
2002-01-01,448.4,1728.9,738.9940909090909,,
2002-02-01,-539.0,-1624.6,774.4176470588236,,
2002-03-01,-707.2,-568.2,864.6635,,
2002-04-01,-792.9,141.9,894.0333333333334,,
2002-05-01,-648.7,1034.9,842.23,,
2002-06-01,-431.0,-674.2,784.3022222222222,,
2002-07-01,-99.1,688.7,753.67,,
2002-08-01,786.0,-450.5,713.2328571428571,,
2002-09-01,-298.1,1299.8,703.0005,,
2002-10-01,721.8,473.5,642.2236363636364,,
2002-11-01,1326.9,1036.6,679.734761904762,,
2002-12-01,628.2,1895.9,699.8357894736843,,
2003-01-01,257.5,783.6,630.9776190476191,82.0,
2003-02-01,-607.6,-126.9,591.5615,73.0,
2003-03-01,-474.3,297.2,550.7480952380952,71.0,
2003-04-01,-991.4,-421.2,585.8768181818182,76.0,
2003-05-01,1000.2,462.9,613.4873684210527,74.0,
2003-06-01,2497.3,3054.0,663.1705,71.0,
2003-07-01,2752.3,54.3,703.5259090909091,66.0,
2003-08-01,2214.8,99.9,731.646,68.0,
2003-09-01,1394.8,1895.5,742.291052631579,70.0,
2003-10-01,3009.7,1025.6,756.45,77.0,
2003-11-01,1801.9,1491.6,789.045,80.0,
2003-12-01,1563.3,-344.8,801.1790476190475,81.0,
2004-01-01,3891.2,82.4,845.5294444444445,77.0,
2004-02-01,1114.3,3188.2,867.4514999999999,76.0,
2004-03-01,2541.2,1378.5,875.5781818181819,79.0,
2004-04-01,3825.6,-6.2,907.1424999999999,88.0,
2004-05-01,-2586.1,-140.5,798.7878947368421,79.0,
2004-06-01,342.7,733.8,771.6118181818182,76.0,
2004-07-01,1097.2,1115.0,746.0677272727273,67.0,
2004-08-01,1257.4,-18.3,770.3063636363637,68.0,
2004-09-01,943.9,-913.1,835.9157894736842,72.0,
