date,horizon,target,model,transform,unit_label,forecast_transform_baseline,forecast_transform_scenario,impact_transform_delta,forecast_level_baseline,forecast_level_scenario,impact_level_delta,impact_level_pct_delta
2025-01-31,1,CSI_CCSI,ARIMAX,diff,unit_change,-1.8081899322945447,-1.8081899322945447,0.0,86.09181006770547,86.09181006770547,0.0,0.0
2025-02-28,2,CSI_CCSI,ARIMAX,diff,unit_change,-0.7913284359015158,-0.7913284359015158,0.0,85.30048163180395,85.30048163180395,0.0,0.0
2025-03-31,3,CSI_CCSI,ARIMAX,diff,unit_change,0.11837249754604931,0.11837249754604931,0.0,85.41885412935,85.41885412935,0.0,0.0
2025-04-30,4,CSI_CCSI,ARIMAX,diff,unit_change,0.3462464233211654,0.3462464233211654,0.0,85.76510055267116,85.76510055267116,0.0,0.0
2025-05-31,5,CSI_CCSI,ARIMAX,diff,unit_change,-0.15959231314055153,-3.205598442568933,-3.046006129428381,85.60550823953061,82.55950211010223,-3.0460061294283776,-3.5581894110194696
2025-06-30,6,CSI_CCSI,ARIMAX,diff,unit_change,2.6797107076937063,2.6797107076937063,0.0,88.28521894722431,85.23921281779593,-3.0460061294283776,-3.450188112745394
2025-07-31,7,CSI_CCSI,ARIMAX,diff,unit_change,0.8954834217060651,0.8954834217060651,0.0,89.18070236893037,86.13469623950199,-3.0460061294283776,-3.4155440005702116
2025-08-31,8,CSI_CCSI,ARIMAX,diff,unit_change,1.0679322912873137,1.0679322912873137,0.0,90.24863466021769,87.20262853078931,-3.0460061294283776,-3.375127104023748
2025-09-30,9,CSI_CCSI,ARIMAX,diff,unit_change,-0.7266882893532384,-0.7266882893532384,0.0,89.52194637086446,86.47594024143608,-3.0460061294283776,-3.4025244679216686
2025-10-31,10,CSI_CCSI,ARIMAX,diff,unit_change,0.07477516318577546,0.07477516318577546,0.0,89.59672153405023,86.55071540462185,-3.0460061294283776,-3.39968480684952
2025-11-30,11,CSI_CCSI,ARIMAX,diff,unit_change,-1.3880918219790257,-1.3880918219790257,0.0,88.2086297120712,85.16262358264282,-3.0460061294283776,-3.453183820416538
2025-12-31,12,CSI_CCSI,ARIMAX,diff,unit_change,-0.3912002963297288,-0.3912002963297288,0.0,87.81742941574147,84.7714232863131,-3.0460061294283776,-3.4685667181262017
2026-01-31,13,CSI_CCSI,ARIMAX,diff,unit_change,-1.4009812511657296,-1.4009812511657296,0.0,86.41644816457574,83.37044203514736,-3.0460061294283776,-3.5247990331972607
2026-02-28,14,CSI_CCSI,ARIMAX,diff,unit_change,0.1828246591435539,0.1828246591435539,0.0,86.59927282371929,83.55326669429091,-3.0460061294283776,-3.517357629120975
2026-03-31,15,CSI_CCSI,ARIMAX,diff,unit_change,0.6516359214644833,0.6516359214644833,0.0,87.25090874518378,84.2049026157554,-3.0460061294283776,-3.49108814250203
2024-12-31,1,Imports,ARIMAX,log_diff,log_change,0.0008820316392079107,0.0008820316392079107,0.0,50763747.490630545,50763747.490630545,0.0,0.0
2025-01-31,2,Imports,ARIMAX,log_diff,log_change,-0.016338775223332495,-0.016338775223332495,0.0,49941069.11091769,49941069.11091769,0.0,0.0
2025-02-28,3,Imports,ARIMAX,log_diff,log_change,-0.008067829041106063,-0.008067829041106063,0.0,49539774.06977854,49539774.06977854,0.0,0.0
2025-03-31,4,Imports,ARIMAX,log_diff,log_change,-0.0012150626526241089,-0.0012150626526241089,0.0,49479616.695377626,49479616.695377626,0.0,0.0
2025-04-30,5,Imports,ARIMAX,log_diff,log_change,0.0006944815831628816,0.0006944815831628816,0.0,49513991.3128023,49513991.3128023,0.0,0.0
2025-05-31,6,Imports,ARIMAX,log_diff,log_change,-0.0027554816392795496,-0.02486567822596457,-0.02211019658668502,49377744.218242854,48297973.545265056,-1079770.6729777977,-2.1867557744342463
2025-06-30,7,Imports,ARIMAX,log_diff,log_change,0.018049207819709888,0.018049207819709888,0.0,50277064.984539695,49177628.362774216,-1099436.6217654794,-2.1867557744342445
2025-07-31,8,Imports,ARIMAX,log_diff,log_change,0.005269051890024699,0.005269051890024699,0.0,50542676.59498813,49437431.6959936,-1105244.8989945278,-2.1867557744342436
2025-08-31,9,Imports,ARIMAX,log_diff,log_change,0.006671039645148656,0.006671039645148656,0.0,50880975.94390559,49768333.26436374,-1112642.6795418486,-2.186755774434233
2025-09-30,10,Imports,ARIMAX,log_diff,log_change,-0.006223769775172561,-0.006223769775172561,0.0,50565287.867670566,49459548.51536499,-1105739.3523055762,-2.1867557744342276
2025-10-31,11,Imports,ARIMAX,log_diff,log_change,-0.0002903494964491306,-0.0002903494964491306,0.0,50550608.39299255,49445190.044947155,-1105418.3480453938,-2.1867557744342196
2025-11-30,12,Imports,ARIMAX,log_diff,log_change,-0.010807268340348935,-0.010807268340348935,0.0,50007235.87829105,48913699.76008758,-1093536.1182034686,-2.1867557744342165
2025-12-31,13,Imports,ARIMAX,log_diff,log_change,-0.0034818218811236623,-0.0034818218811236623,0.0,49833422.359648004,48743687.11860021,-1089735.2410477921,-2.186755774434211
2026-01-31,14,Imports,ARIMAX,log_diff,log_change,-0.010733201513269213,-0.010733201513269213,0.0,49301410.3985357,48223308.95976821,-1078101.4387674853,-2.1867557744342054
2026-02-28,15,Imports,ARIMAX,log_diff,log_change,0.0008320538947388233,0.0008320538947388233,0.0,49342448.8998287,48263450.04926445,-1078998.8505642489,-2.1867557744342005
