target,model,avg_rmse_response,avg_nrmse_response,avg_rmse_level_delta,total_test_rows,horizons,selection_scope,rank,selected_for_plot,targets
__ALL__,LocalProjection_ElasticNet,1770.1297389363147,1.2328131308616574,427221.7958310316,751,6,overall,1.0,True,8
__ALL__,LocalProjection_Ridge,1779.8408727314973,1.270694783436204,561025.4634085671,751,6,overall,2.0,False,8
__ALL__,LocalProjection_OLS,1780.4223753831213,1.2761708551436948,570948.2033091215,751,6,overall,3.0,False,8
CSI_CCSI,LocalProjection_ElasticNet,7.26419435673611,0.9909876442047015,7.26419435673611,88,6,target,1.0,True,1
CSI_CCSI,LocalProjection_Ridge,7.68655404334097,1.0398527174203933,7.68655404334097,88,6,target,2.0,False,1
CSI_CCSI,LocalProjection_OLS,7.766936243963056,1.0497971040333791,7.766936243963056,88,6,target,3.0,False,1
Foreign_Bond_Investment,LocalProjection_ElasticNet,5008.097972975577,1.0301431095977118,5008.097972975577,99,6,target,1.0,True,1
Foreign_Bond_Investment,LocalProjection_Ridge,5080.412432110035,1.054454871763304,5080.412432110035,99,6,target,2.0,False,1
Foreign_Bond_Investment,LocalProjection_OLS,5085.113542241276,1.0558933129538757,5085.113542241276,99,6,target,3.0,False,1
Foreign_Stock_Investment,LocalProjection_OLS,6233.87724935832,0.9889793832618737,6233.87724935832,99,6,target,1.0,True,1
Foreign_Stock_Investment,LocalProjection_Ridge,6235.998533427555,0.9892937626940389,6235.998533427555,99,6,target,2.0,False,1
Foreign_Stock_Investment,LocalProjection_ElasticNet,6286.545358799302,0.9974200798707717,6286.545358799302,99,6,target,3.0,False,1
Import_Price_Index,LocalProjection_OLS,0.06149554222300383,1.7859076367829754,6.817134020291903,66,6,target,1.0,True,1
Import_Price_Index,LocalProjection_Ridge,0.06210861704178325,1.8033940377271467,6.888368751677549,66,6,target,2.0,False,1
Import_Price_Index,LocalProjection_ElasticNet,0.08102546470779458,2.338600000171716,8.965280310644195,66,6,target,3.0,False,1
Imports,LocalProjection_ElasticNet,0.06387898313037259,1.0301890048098228,3402917.566110922,100,6,target,1.0,True,1
Imports,LocalProjection_Ridge,0.08271431725932014,1.3410798230925598,4473249.756784063,100,6,target,2.0,False,1
Imports,LocalProjection_OLS,0.08407152091687052,1.3633855389713976,4552624.52633107,100,6,target,3.0,False,1
Industrial_Production,LocalProjection_ElasticNet,0.011536849577058467,1.0978542400530602,1.3379747951017744,100,6,target,1.0,True,1
Industrial_Production,LocalProjection_Ridge,0.015830188730436873,1.51867740609146,1.8358335771473262,100,6,target,2.0,False,1
Industrial_Production,LocalProjection_OLS,0.01606003792923888,1.5409331153153083,1.8624952750271966,100,6,target,3.0,False,1
KOSPI,LocalProjection_ElasticNet,0.17489289917457743,1.2365219220309724,685.7907049309221,100,6,target,1.0,True,1
KOSPI,LocalProjection_Ridge,0.1783109707426914,1.271355206456634,706.8382643872263,100,6,target,2.0,False,1
KOSPI,LocalProjection_OLS,0.17897459633019608,1.27684356120791,709.3821112399145,100,6,target,3.0,False,1
Trade_Balance,LocalProjection_ElasticNet,2858.799051162312,1.1407890461545016,2858.799051162312,99,6,target,1.0,True,1
Trade_Balance,LocalProjection_Ridge,2914.290498177273,1.1474504422440952,2914.290498177273,99,6,target,2.0,False,1
Trade_Balance,LocalProjection_OLS,2916.280673524012,1.1476271886228375,2916.280673524012,99,6,target,3.0,False,1
