target,subset,method,lag,value,pvalue,tvalue
Exports,full,cross_correlation,0,-0.10695818923808349,0.08459615143560474,
Exports,full,cross_correlation,1,0.05496782506269433,0.3764593666710903,
Exports,full,cross_correlation,2,-0.10828229642995321,0.08079446169489363,
Exports,full,cross_correlation,3,-0.12373906793303638,0.04580864636339836,
Exports,full,cross_correlation,4,0.05066777442826076,0.4149820532274419,
Exports,full,cross_correlation,5,0.014813452791581817,0.81173913978019,
Exports,full,cross_correlation,6,-0.04349109047370497,0.4841904569638144,
Exports,full,distributed_lag_ols,1,-0.0002829071809660466,0.9983834342544851,-0.002026066088900964
Exports,full,distributed_lag_ols,2,-0.26443073163181646,0.2299587442661266,-1.2004651379054585
Exports,full,distributed_lag_ols,3,-0.42746954265217957,0.02047716246088719,-2.3174880207132302
Exports,full,distributed_lag_ols,4,-0.034908402098633384,0.8270475430340982,-0.21848975089288708
Exports,full,distributed_lag_ols,5,0.0550318333412963,0.7534767423684499,0.3140583233104271
Exports,full,distributed_lag_ols,6,-0.08169374645703191,0.5867869901504182,-0.543497967147524
Exports,full,elasticnet_abs_coef,1,0.0,,
Exports,full,elasticnet_abs_coef,2,0.0,,
Exports,full,elasticnet_abs_coef,3,0.019781674950845606,,
Exports,full,elasticnet_abs_coef,4,0.0,,
Exports,full,elasticnet_abs_coef,5,0.0,,
Exports,full,elasticnet_abs_coef,6,0.0,,
Exports,full,tree_permutation_importance,1,-0.022976647213628843,,
Exports,full,tree_feature_importance,1,0.08231359760816795,,
Exports,full,tree_shap_abs,1,0.0018990066488070829,,
Exports,full,tree_permutation_importance,2,0.060123368076304376,,
Exports,full,tree_feature_importance,2,0.11408305218875131,,
Exports,full,tree_shap_abs,2,0.002369895119749641,,
Exports,full,tree_permutation_importance,3,0.08300840306902697,,
Exports,full,tree_feature_importance,3,0.12289534847581883,,
Exports,full,tree_shap_abs,3,0.004501859112506807,,
Exports,full,tree_permutation_importance,4,0.05107215482743764,,
Exports,full,tree_feature_importance,4,0.11213567216519424,,
Exports,full,tree_shap_abs,4,0.004650403597274213,,
Exports,full,tree_permutation_importance,5,-0.06499321301298075,,
Exports,full,tree_feature_importance,5,0.0933583727992359,,
Exports,full,tree_shap_abs,5,0.003333899851578373,,
Exports,full,tree_permutation_importance,6,0.012898540021467331,,
Exports,full,tree_feature_importance,6,0.0887984051166185,,
Exports,full,tree_shap_abs,6,0.00256789068868814,,
Exports,anomaly,cross_correlation,0,-0.21008614497826494,0.09840914098200877,
Exports,anomaly,cross_correlation,1,0.11564029792331788,0.3667811901873623,
Exports,anomaly,cross_correlation,2,-0.2554798433274138,0.04329289315931697,
Exports,anomaly,cross_correlation,3,-0.2429258927728494,0.05506061522033938,
Exports,anomaly,cross_correlation,4,0.06562367997866517,0.6093561339942448,
Exports,anomaly,cross_correlation,5,0.1758093679512366,0.1681224500998714,
Exports,anomaly,cross_correlation,6,-0.1421531245090466,0.2664106641238457,
Exports,anomaly,distributed_lag_ols,1,-0.05055195718695702,0.7974747169518364,-0.25661665458205624
Exports,anomaly,distributed_lag_ols,2,-0.5975223698877467,0.033200394418789095,-2.1296515176944975
Exports,anomaly,distributed_lag_ols,3,-0.7645764249325544,0.011185861230514812,-2.536838285279027
Exports,anomaly,distributed_lag_ols,4,-0.14548498328064013,0.4883424704077438,-0.6929475455751862
Exports,anomaly,distributed_lag_ols,5,0.4322265292526401,0.024633899303343795,2.2470958937258705
Exports,anomaly,distributed_lag_ols,6,-0.008205218306879472,0.9754803710837593,-0.030735636096805026
Exports,anomaly,elasticnet_abs_coef,1,0.023352157666043233,,
Exports,anomaly,elasticnet_abs_coef,2,0.27712374111908294,,
Exports,anomaly,elasticnet_abs_coef,3,0.35450296112350166,,
Exports,anomaly,elasticnet_abs_coef,4,0.06799685553494929,,
Exports,anomaly,elasticnet_abs_coef,5,0.2018405405951428,,
Exports,anomaly,elasticnet_abs_coef,6,0.003846482163608115,,
Exports,anomaly,tree_permutation_importance,1,-0.02170414122266736,,
Exports,anomaly,tree_feature_importance,1,0.07322593006196666,,
Exports,anomaly,tree_shap_abs,1,0.0019900413161222006,,
Exports,anomaly,tree_permutation_importance,2,0.04262811439048866,,
Exports,anomaly,tree_feature_importance,2,0.13045428697350006,,
Exports,anomaly,tree_shap_abs,2,0.002763243504948054,,
Exports,anomaly,tree_permutation_importance,3,0.005131153602175642,,
Exports,anomaly,tree_feature_importance,3,0.2564284390878807,,
Exports,anomaly,tree_shap_abs,3,0.013746600462663051,,
Exports,anomaly,tree_permutation_importance,4,-0.003430286856466569,,
Exports,anomaly,tree_feature_importance,4,0.08561446723777676,,
Exports,anomaly,tree_shap_abs,4,0.005304059898173687,,
Exports,anomaly,tree_permutation_importance,5,0.062945648835448,,
Exports,anomaly,tree_feature_importance,5,0.06620734126068925,,
Exports,anomaly,tree_shap_abs,5,0.001796998749633516,,
Exports,anomaly,tree_permutation_importance,6,-0.023248361433054386,,
Exports,anomaly,tree_feature_importance,6,0.0957713466992102,,
Exports,anomaly,tree_shap_abs,6,0.0029121185475607016,,
Imports,full,cross_correlation,0,-0.12326304484546251,0.04665596989155379,
Imports,full,cross_correlation,1,-0.10712746000918387,0.08410227619029667,
