TIME,CurrentAccount,GoodsAccount,ServicesAccount,PrimaryIncome,SecondaryIncome
1980-01-01,-609.4,-642.1,74.2,-67.7,26.2
1980-02-01,-548.1,-482.2,36.8,-130.3,27.6
1980-03-01,-676.8,-667.4,107.5,-151.0,34.1
1980-04-01,-637.1,-627.4,110.3,-153.0,33.0
1980-05-01,-541.2,-537.8,101.0,-133.1,28.7
1980-06-01,-468.5,-308.4,91.8,-295.5,43.6
1980-07-01,-630.4,-679.9,100.1,-84.3,33.7
1980-08-01,-516.9,-596.1,171.6,-124.8,32.4
1980-09-01,-428.5,-428.2,129.7,-160.3,30.3
1980-10-01,-487.5,-493.2,121.6,-164.4,48.5
1980-11-01,-501.3,-494.2,145.7,-191.0,38.2
1980-12-01,-850.3,-662.4,109.6,-340.7,43.2
1981-01-01,-335.1,-396.5,148.9,-118.6,31.1
1981-02-01,-507.7,-486.2,106.1,-157.1,29.5
1981-03-01,-478.9,-445.4,135.2,-206.2,37.5
1981-04-01,-612.8,-593.3,146.5,-201.6,35.6
1981-05-01,-750.6,-598.6,80.9,-265.2,32.3
1981-06-01,-350.2,-242.2,219.5,-373.5,46.0
1981-07-01,-663.1,-635.8,65.2,-172.1,79.6
1981-08-01,-493.4,-549.4,197.7,-183.5,41.8
1981-09-01,-393.7,-354.2,171.9,-250.4,39.0
1981-10-01,-219.5,-341.3,240.2,-182.8,64.4
1981-11-01,-622.7,-498.1,186.3,-354.5,43.6
1981-12-01,-1059.4,-1123.9,351.0,-338.5,52.0
1982-01-01,-344.9,-499.6,253.3,-141.4,42.8
1982-02-01,-106.2,-207.6,217.4,-156.0,40.0
1982-03-01,-278.1,-358.2,337.7,-306.8,49.2
1982-04-01,-415.3,-539.0,337.2,-260.6,47.1
1982-05-01,-187.4,-275.7,274.6,-233.5,47.2
1982-06-01,-634.6,-618.8,263.8,-321.7,42.1
1982-07-01,-292.5,-370.8,184.4,-167.4,61.3
1982-08-01,-526.4,-633.2,209.2,-144.9,42.5
1982-09-01,-562.1,-709.0,372.4,-268.3,42.8
1982-10-01,-780.6,-709.5,195.6,-312.8,46.1
1982-11-01,-786.1,-808.2,268.7,-287.7,41.1
1982-12-01,-716.8,-718.0,273.8,-327.4,54.8
1983-01-01,-476.6,-526.2,186.0,-179.7,43.3
1983-02-01,-621.7,-713.0,181.6,-145.9,55.6
1983-03-01,-347.3,-459.9,272.1,-215.5,56.0
1983-04-01,-26.5,-75.5,214.4,-212.2,46.8
1983-05-01,-437.5,-445.7,187.6,-225.7,46.3
1983-06-01,-535.0,-497.2,234.3,-322.7,50.6
1983-07-01,47.1,-102.9,259.4,-169.1,59.7
1983-08-01,-86.4,-211.3,221.1,-147.1,50.9
1983-09-01,-136.9,-312.3,334.1,-206.1,47.4
1983-10-01,-366.1,-418.7,239.1,-237.5,51.0
1983-11-01,-75.7,-169.1,252.8,-210.8,51.4
1983-12-01,-530.9,-532.2,295.9,-350.6,56.0
