release_date,reference_month
2025-02-12,2025-01
2025-03-12,2025-02
2025-04-10,2025-03
2025-05-13,2025-04
2025-06-11,2025-05
2025-07-15,2025-06
2025-08-12,2025-07
2025-09-11,2025-08
2025-10-24,2025-09
2025-11-12,2025-10
2025-12-12,2025-11
2024-02-13,2024-01
2024-03-12,2024-02
2024-04-10,2024-03
2024-05-15,2024-04
2024-06-12,2024-05
2024-07-11,2024-06
2024-08-14,2024-07
2024-09-11,2024-08
2024-10-10,2024-09
2024-11-13,2024-10
2024-12-11,2024-11
2025-01-15,2024-12
2023-02-14,2023-01
2023-03-14,2023-02
2023-04-12,2023-03
2023-05-10,2023-04
2023-06-13,2023-05
2023-07-12,2023-06
2023-08-10,2023-07
2023-09-13,2023-08
2023-10-12,2023-09
2023-11-14,2023-10
2023-12-12,2023-11
2024-01-11,2023-12
2022-02-10,2022-01
2022-03-10,2022-02
2022-04-12,2022-03
2022-05-11,2022-04
2022-06-10,2022-05
2022-07-13,2022-06
2022-08-10,2022-07
2022-09-13,2022-08
2022-10-13,2022-09
2022-11-10,2022-10
2022-12-13,2022-11
2023-01-12,2022-12
2010-02-19,2010-01
2010-03-18,2010-02
2010-04-14,2010-03
2010-05-19,2010-04
2010-06-17,2010-05
2010-07-16,2010-06
2010-08-13,2010-07
2010-09-17,2010-08
2010-10-15,2010-09
2010-11-17,2010-10
2010-12-15,2010-11
2011-01-14,2010-12
