Date,Foreign_Stock_Investment,Foreign_Bond_Investment,Total_Foreign_Investment
1995-01-01,-347.4,770.0,422.6
1995-02-01,-198.2,588.4,390.2
1995-03-01,-74.0,1129.6,1055.6
1995-04-01,82.7,937.1,1019.8000000000001
1995-05-01,-63.9,1341.4,1277.5
1995-06-01,419.0,792.5,1211.5
1995-07-01,1710.4,584.7,2295.1000000000004
1995-08-01,792.1,967.1,1759.2
1995-09-01,896.1,751.8,1647.9
1995-10-01,563.8,588.8,1152.6
1995-11-01,320.1,659.3,979.4
1995-12-01,118.2,1289.7,1407.9
1996-01-01,109.9,109.0,218.9
1996-02-01,283.3,766.4,1049.7
1996-03-01,446.6,1423.6,1870.1999999999998
1996-04-01,1741.4,914.0,2655.4
1996-05-01,486.7,1417.4,1904.1000000000001
1996-06-01,399.8,1672.8,2072.6
1996-07-01,592.8,1197.5,1790.3
1996-08-01,207.6,1667.9,1875.5
1996-09-01,263.6,1267.1,1530.6999999999998
1996-10-01,910.5,953.0,1863.5
1996-11-01,232.8,2449.5,2682.3
1996-12-01,278.6,1722.6,2001.1999999999998
1997-01-01,471.2,372.7,843.9
1997-02-01,-54.2,921.3,867.0999999999999
1997-03-01,268.9,1071.5,1340.4
1997-04-01,-122.2,1129.8,1007.5999999999999
1997-05-01,1376.2,752.8,2129.0
1997-06-01,1242.1,1926.9,3169.0
1997-07-01,1179.2,1759.0,2938.2
1997-08-01,55.9,772.0,827.9
1997-09-01,-481.6,2324.0,1842.4
1997-10-01,-759.3,1531.5,772.2
1997-11-01,-984.1,-474.9,-1459.0
1997-12-01,332.9,-1303.5,-970.6
1998-01-01,913.8,-686.3,227.5
1998-02-01,1414.7,555.4,1970.1
1998-03-01,425.4,364.9,790.3
1998-04-01,158.8,3534.0,3692.8
1998-05-01,79.8,-444.7,-364.9
1998-06-01,-253.9,-1046.1,-1300.0
1998-07-01,-78.7,-722.6,-801.3000000000001
1998-08-01,-106.2,-1358.3,-1464.5
1998-09-01,-10.8,-1319.1,-1329.8999999999999
1998-10-01,399.5,-702.1,-302.6
1998-11-01,417.6,-163.1,254.50000000000003
1998-12-01,496.2,-1093.4,-597.2
1999-01-01,1177.1,200.9,1378.0
1999-02-01,325.9,130.8,456.7
1999-03-01,1279.2,-1775.5,-496.29999999999995
1999-04-01,1643.6,862.5,2506.1
1999-05-01,2550.4,-639.2,1911.2
1999-06-01,413.0,-925.4,-512.4
1999-07-01,296.3,-344.8,-48.5
1999-08-01,-245.1,-1654.2,-1899.3
1999-09-01,-667.0,516.3,-150.70000000000005
1999-10-01,1108.8,-72.0,1036.8
1999-11-01,2820.1,-773.0,2047.1
1999-12-01,1369.9,309.3,1679.2
2000-01-01,1416.7,-320.7,1096.0
2000-02-01,1716.8,662.9,2379.7
2000-03-01,3665.3,1496.8,5162.1
2000-04-01,235.5,673.9,909.4
2000-05-01,786.5,-1693.1,-906.5999999999999
2000-06-01,2301.9,-272.1,2029.8000000000002
2000-07-01,819.8,-70.0,749.8
2000-08-01,1207.0,11.4,1218.4
2000-09-01,-872.4,-107.5,-979.9
2000-10-01,54.9,145.0,199.9
2000-11-01,1066.1,-434.8,631.3
2000-12-01,695.5,-488.4,207.10000000000002
2001-01-01,2327.4,-7.1,2320.3
2001-02-01,278.8,139.6,418.4
2001-03-01,130.9,-853.7,-722.8000000000001
2001-04-01,980.0,287.6,1267.6
2001-05-01,765.5,62.1,827.6
2001-06-01,383.0,885.5,1268.5
2001-07-01,1802.4,311.4,2113.8
2001-08-01,398.1,-131.5,266.6
2001-09-01,-349.0,-1698.6,-2047.6
2001-10-01,1592.2,483.3,2075.5
2001-11-01,1501.3,534.9,2036.1999999999998
2001-12-01,455.1,1948.1,2403.2
2002-01-01,448.4,1728.9,2177.3
2002-02-01,-539.0,-1624.6,-2163.6
2002-03-01,-707.2,-568.2,-1275.4
2002-04-01,-792.9,141.9,-651.0
2002-05-01,-648.7,1034.9,386.20000000000005
2002-06-01,-431.0,-674.2,-1105.2
2002-07-01,-99.1,688.7,589.6
2002-08-01,786.0,-450.5,335.5
2002-09-01,-298.1,1299.8,1001.6999999999999
2002-10-01,721.8,473.5,1195.3
