Date,USD_KRW,USD_KRW_MoM,USD_KRW_YoY,USD_KRW_MoM_lag1,USD_KRW_MoM_lag3,USD_KRW_MoM_lag6,USD_KRW_YoY_lag1,USD_KRW_YoY_lag3,USD_KRW_YoY_lag6,Exports,Exports_MoM,Exports_YoY,Exports_MoM_lag1,Exports_MoM_lag3,Exports_MoM_lag6,Exports_YoY_lag1,Exports_YoY_lag3,Exports_YoY_lag6,Imports,Imports_MoM,Imports_YoY,Imports_MoM_lag1,Imports_MoM_lag3,Imports_MoM_lag6,Imports_YoY_lag1,Imports_YoY_lag3,Imports_YoY_lag6,Trade_Balance,Trade_Balance_MoM,Trade_Balance_YoY,Trade_Balance_MoM_lag1,Trade_Balance_MoM_lag3,Trade_Balance_MoM_lag6,Trade_Balance_YoY_lag1,Trade_Balance_YoY_lag3,Trade_Balance_YoY_lag6,Current_Account,Current_Account_MoM,Current_Account_YoY,Current_Account_MoM_lag1,Current_Account_MoM_lag3,Current_Account_MoM_lag6,Current_Account_YoY_lag1,Current_Account_YoY_lag3,Current_Account_YoY_lag6,CPI_KOR,CPI_KOR_MoM,CPI_KOR_YoY,CPI_KOR_MoM_lag1,CPI_KOR_MoM_lag3,CPI_KOR_MoM_lag6,CPI_KOR_YoY_lag1,CPI_KOR_YoY_lag3,CPI_KOR_YoY_lag6,Import_Price_Index,Import_Price_Index_MoM,Import_Price_Index_YoY,Import_Price_Index_MoM_lag1,Import_Price_Index_MoM_lag3,Import_Price_Index_MoM_lag6,Import_Price_Index_YoY_lag1,Import_Price_Index_YoY_lag3,Import_Price_Index_YoY_lag6,Industrial_Production,Industrial_Production_MoM,Industrial_Production_YoY,Industrial_Production_MoM_lag1,Industrial_Production_MoM_lag3,Industrial_Production_MoM_lag6,Industrial_Production_YoY_lag1,Industrial_Production_YoY_lag3,Industrial_Production_YoY_lag6,Unemployment_KOR,Unemployment_KOR_MoM,Unemployment_KOR_YoY,Unemployment_KOR_MoM_lag1,Unemployment_KOR_MoM_lag3,Unemployment_KOR_MoM_lag6,Unemployment_KOR_YoY_lag1,Unemployment_KOR_YoY_lag3,Unemployment_KOR_YoY_lag6,M2,M2_MoM,M2_YoY,M2_MoM_lag1,M2_MoM_lag3,M2_MoM_lag6,M2_YoY_lag1,M2_YoY_lag3,M2_YoY_lag6,MMF,MMF_MoM,MMF_YoY,MMF_MoM_lag1,MMF_MoM_lag3,MMF_MoM_lag6,MMF_YoY_lag1,MMF_YoY_lag3,MMF_YoY_lag6,Demand_Deposits,Demand_Deposits_MoM,Demand_Deposits_YoY,Demand_Deposits_MoM_lag1,Demand_Deposits_MoM_lag3,Demand_Deposits_MoM_lag6,Demand_Deposits_YoY_lag1,Demand_Deposits_YoY_lag3,Demand_Deposits_YoY_lag6,Policy_Rate_KOR,Policy_Rate_KOR_MoM,Policy_Rate_KOR_YoY,Policy_Rate_KOR_MoM_lag1,Policy_Rate_KOR_MoM_lag3,Policy_Rate_KOR_MoM_lag6,Policy_Rate_KOR_YoY_lag1,Policy_Rate_KOR_YoY_lag3,Policy_Rate_KOR_YoY_lag6,Policy_Rate_USA,Policy_Rate_USA_MoM,Policy_Rate_USA_YoY,Policy_Rate_USA_MoM_lag1,Policy_Rate_USA_MoM_lag3,Policy_Rate_USA_MoM_lag6,Policy_Rate_USA_YoY_lag1,Policy_Rate_USA_YoY_lag3,Policy_Rate_USA_YoY_lag6,DXY,DXY_MoM,DXY_YoY,DXY_MoM_lag1,DXY_MoM_lag3,DXY_MoM_lag6,DXY_YoY_lag1,DXY_YoY_lag3,DXY_YoY_lag6,VIX,VIX_MoM,VIX_YoY,VIX_MoM_lag1,VIX_MoM_lag3,VIX_MoM_lag6,VIX_YoY_lag1,VIX_YoY_lag3,VIX_YoY_lag6,WTI_Oil,WTI_Oil_MoM,WTI_Oil_YoY,WTI_Oil_MoM_lag1,WTI_Oil_MoM_lag3,WTI_Oil_MoM_lag6,WTI_Oil_YoY_lag1,WTI_Oil_YoY_lag3,WTI_Oil_YoY_lag6,Rate_Spread_KOR_USA,Rate_Spread_KOR_USA_MoM,Rate_Spread_KOR_USA_YoY,Rate_Spread_KOR_USA_MoM_lag1,Rate_Spread_KOR_USA_MoM_lag3,Rate_Spread_KOR_USA_MoM_lag6,Rate_Spread_KOR_USA_YoY_lag1,Rate_Spread_KOR_USA_YoY_lag3,Rate_Spread_KOR_USA_YoY_lag6,FX_Surge,Is_Abnormal_Period,Period_Type,Foreign_Stock_Investment,Foreign_Bond_Investment,KOSPI,BSI_All_Industry,CSI_CCSI
1995-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.2,,,,,,,,,-153.3,,,,,,,,,50.847,,,,,,,,,57.28,,,,,,,,,,,,,,,,,,,,,,,,,,,311847.9,,,,,,,,,,,,,,,,,,24197.9,,,,,,,,,,,,,,,,,,5.53,,,,,,,,,87.98999786376953,,,,,,,,,11.960000038146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,-347.4,770.0,965.3308695652174,,
1995-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,-763.2,-987.4,,,,,,,,-853.9,-700.5999999999999,,,,,,,,51.055,0.004090703482998,,,,,,,,57.94,0.011522346368715,,,,,,,,,,,,,,,,,,,,,,,,,,312391.7,0.0017437988198734,,,,,,,,,,,,,,,,,23461.7,-0.0304241277135619,,,,,,,,,,,,,,,,,5.92,0.3899999999999997,,,,,,,,85.93000030517578,-0.0234117241573654,,,,,,,,11.75,-0.0175585315616361,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,-198.2,588.4,929.6839130434782,,
1995-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1090.8,-327.5999999999999,,-987.4,,,,,,-1122.0,-268.1,,-700.5999999999999,,,,,,51.574,0.0101655077857212,,0.004090703482998,,,,,,58.43,0.0084570245081119,,0.011522346368715,,,,,,,,,,,,,,,,,,,,,,,,316700.1,0.0137916596375637,,0.0017437988198734,,,,,,,,,,,,,,,23567.5,0.0045094771478622,,-0.0304241277135619,,,,,,,,,,,,,,,5.98,0.0600000000000005,,0.3899999999999997,,,,,,81.9000015258789,-0.0468986240542831,,-0.0234117241573654,,,,,,13.369999885559082,0.1378723306858793,,-0.0175585315616361,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,-74.0,1129.6,942.3757692307692,,
1995-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-627.6,463.19999999999993,,-327.5999999999999,,,,,,-799.5,322.5,,-268.1,,,,,,51.886,0.0060495598557412,,0.0101655077857212,,,,,,58.53,0.0017114495978094,,0.0084570245081119,,,,,,,,,,,,,,,,,,,,,,,,324014.6,0.0230959826030998,,0.0137916596375637,,,,,,,,,,,,,,,23856.5,0.0122626498355786,,0.0045094771478622,,,,,,,,,,,,,,,6.05,0.0699999999999994,,0.0600000000000005,,,,,,81.80000305175781,-0.001220982567253,,-0.0468986240542831,,,,,,11.75,-0.1211667838014599,,0.1378723306858793,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,82.7,937.1,902.7358333333332,,
1995-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-922.6,-295.0,,463.19999999999993,-987.4,,,,,-1063.9,-264.4000000000001,,322.5,-700.5999999999999,,,,,51.99,0.0020043942489302,,0.0060495598557412,0.004090703482998,,,,,58.37,-0.002733640867931,,0.0017114495978094,0.011522346368715,,,,,,,,,,,,,,,,,,,,,,,328385.4,0.0134895155959022,,0.0230959826030998,0.0017437988198734,,,,,,,,,,,,,,23895.1,0.0016180076708653,,0.0122626498355786,-0.0304241277135619,,,,,,,,,,,,,,6.01,-0.04,,0.0699999999999994,0.3899999999999997,,,,,82.56999969482422,0.0094131615444952,,-0.001220982567253,-0.0234117241573654,,,,,12.850000381469728,0.0936170537421046,,-0.1211667838014599,-0.0175585315616361,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,-63.9,1341.4,884.2308,,
1995-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1003.5,-80.89999999999998,,-295.0,-327.5999999999999,,,,,-1196.2,-132.29999999999995,,-264.4000000000001,-268.1,,,,,51.835,-0.0029813425658781,,0.0020043942489302,0.0101655077857212,,,,,57.97,-0.0068528353606304,,-0.002733640867931,0.0084570245081119,,,,,,,,,,,,,,,,,,,,,,,332585.5,0.0127901544952973,,0.0134895155959022,0.0137916596375637,,,,,,,,,,,,,,23578.9,-0.013232838531749,,0.0016180076708653,0.0045094771478622,,,,,,,,,,,,,,6.0,-0.0099999999999997,,-0.04,0.0600000000000005,,,,,81.58000183105469,-0.0119898009861757,,0.0094131615444952,-0.0468986240542831,,,,,11.380000114440918,-0.1143969045439575,,0.0936170537421046,0.1378723306858793,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,419.0,792.5,884.24625,,
1995-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-418.6,584.9,,-80.89999999999998,463.19999999999993,,,,,-766.5,429.7000000000001,,-132.29999999999995,322.5,,,,,51.99,0.0029902575479887,,-0.0029813425658781,0.0060495598557412,,,,,57.39,-0.010005175090564,,-0.0068528353606304,0.0017114495978094,,,,,,,,,,,,,,,,,,,,,,,339401.4,0.0204936775656185,,0.0127901544952973,0.0230959826030998,,,,,,,,,,,,,,23827.0,0.0105221193524718,,-0.013232838531749,0.0122626498355786,,,,,,,,,,,,,,5.85,-0.1500000000000003,,-0.0099999999999997,0.0699999999999994,,,,,81.56999969482422,-0.0001226052464571,,-0.0119898009861757,-0.001220982567253,,,,,13.489999771118164,0.1854129732388765,,-0.1143969045439575,-0.1211667838014599,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,1710.4,584.7,945.6604,,
1995-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-322.6,96.0,,584.9,-295.0,-987.4,,,,-778.7,-12.200000000000044,,429.7000000000001,-264.4000000000001,-700.5999999999999,,,,52.302,0.0060011540680899,,0.0029902575479887,0.0020043942489302,0.004090703482998,,,,56.68,-0.0123714932915142,,-0.010005175090564,-0.002733640867931,0.011522346368715,,,,,,,,,,,,,,,,,,,,,,344554.4,0.0151826126822105,,0.0204936775656185,0.0134895155959022,0.0017437988198734,,,,,,,,,,,,,23590.8,-0.0099131237671549,,0.0105221193524718,0.0016180076708653,-0.0304241277135619,,,,,,,,,,,,,5.74,-0.1099999999999994,,-0.1500000000000003,-0.04,0.3899999999999997,,,,85.56999969482422,0.0490376365693894,,-0.0001226052464571,0.0094131615444952,-0.0234117241573654,,,,11.520000457763672,-0.1460340509102323,,0.1854129732388765,0.0936170537421046,-0.0175585315616361,,,,,,,,,,,,,,,,,,,,,,,0,Normal,792.1,967.1,916.891923076923,,
1995-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1103.7,-781.1,,96.0,-80.89999999999998,-327.5999999999999,,,,-1488.9,-710.2,,-12.200000000000044,-132.29999999999995,-268.1,,,,52.77,0.0089480325800161,,0.0060011540680899,-0.0029813425658781,0.0101655077857212,,,,56.89,0.0037050105857445,,-0.0123714932915142,-0.0068528353606304,0.0084570245081119,,,,,,,,,,,,,,,,,,,,,,351876.4,0.0212506356035504,,0.0151826126822105,0.0127901544952973,0.0137916596375637,,,,,,,,,,,,,24201.1,0.0258702545059938,,-0.0099131237671549,-0.013232838531749,0.0045094771478622,,,,,,,,,,,,,5.8,0.0599999999999996,,-0.1099999999999994,-0.0099999999999997,0.0600000000000005,,,,84.29000091552734,-0.0149584992855188,,0.0490376365693894,-0.0119898009861757,-0.0468986240542831,,,,12.739999771118164,0.1059027139649373,,-0.1460340509102323,-0.1143969045439575,0.1378723306858793,,,,,,,,,,,,,,,,,,,,,,,0,Normal,896.1,751.8,971.1458333333334,,
1995-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,-261.1,842.6,,-781.1,584.9,463.19999999999993,,,,-619.8,869.1000000000001,,-710.2,429.7000000000001,322.5,,,,52.511,-0.0049080917187795,,0.0089480325800161,0.0029902575479887,0.0060495598557412,,,,56.39,-0.0087888908419757,,0.0037050105857445,-0.010005175090564,0.0017114495978094,,,,,,,,,,,,,,,,,,,,,,357301.4,0.0154173454087855,,0.0212506356035504,0.0204936775656185,0.0230959826030998,,,,,,,,,,,,,24352.5,0.0062559139873807,,0.0258702545059938,0.0105221193524718,0.0122626498355786,,,,,,,,,,,,,5.76,-0.04,,0.0599999999999996,-0.1500000000000003,0.0699999999999994,,,,83.66000366210938,-0.0074741635612192,,-0.0149584992855188,-0.0001226052464571,-0.001220982567253,,,,13.829999923706056,0.0855573133571747,,0.1059027139649373,0.1854129732388765,-0.1211667838014599,,,,,,,,,,,,,,,,,,,,,,,0,Normal,563.8,588.8,998.9472,,
