운용대상별 CMA잔고 추이,,,,,,
[단위 :십억원],,,,,,
일자,RP형,MMF형,종금형,발행어음형,기타형(MMW형 등),합계
2025/12/01,"40,338","3,972",112,"22,557","31,418","98,397"
2025/11/28,"40,387","3,945",111,"22,504","31,125","98,072"
2025/11/27,"39,964","3,934",111,"21,703","30,720","96,431"
2025/11/26,"39,888","3,885",111,"21,500","30,612","95,997"
2025/11/25,"38,248","3,867",110,"19,008","28,357","89,590"
2025/11/24,"38,354","3,850",110,"19,027","28,799","90,140"
2025/11/21,"40,115","3,860",112,"21,710","31,355","97,152"
2025/11/20,"39,236","3,874",108,"19,950","29,740","92,908"
2025/11/19,"39,249","3,865",108,"19,907","29,789","92,918"
2025/11/18,"40,196","3,892",109,"21,659","31,243","97,099"
2025/11/17,"40,099","3,896",109,"21,224","30,608","95,935"
2025/11/14,"40,052","3,894",109,"21,194","30,540","95,789"
2025/11/13,"40,359","3,867",110,"21,287","30,192","95,816"
2025/11/12,"38,606","3,844",108,"18,863","27,950","89,372"
2025/11/11,"38,630","3,826",108,"19,144","28,222","89,929"
2025/11/10,"38,564","3,811",109,"19,245","28,351","90,079"
2025/11/07,"38,438","3,781",109,"19,113","28,482","89,924"
2025/11/06,"38,625","3,803",109,"19,387","28,764","90,689"
2025/11/05,"38,594","3,793",109,"19,361","29,463","91,320"
2025/11/04,"39,941","3,899",111,"21,622","30,561","96,133"
2025/11/03,"40,040","3,892",111,"21,765","30,592","96,399"
2025/10/31,"39,907","3,903",111,"21,909","30,425","96,254"
2025/10/30,"39,802","3,892",111,"21,452","30,124","95,379"
2025/10/29,"39,415","3,901",111,"19,819","29,572","92,819"
2025/10/28,"39,304","3,904",112,"19,795","29,351","92,466"
2025/10/27,"38,764","3,904",111,"19,495","28,633","90,907"
2025/10/24,"39,056","3,918",112,"19,594","28,894","91,574"
2025/10/23,"39,753","3,936",112,"20,896","29,614","94,311"
2025/10/22,"39,699","3,932",112,"20,969","29,763","94,474"
2025/10/21,"39,872","3,923",112,"21,441","30,768","96,116"
2025/10/20,"39,728","3,916",112,"21,402","30,630","95,787"
2025/10/17,"39,511","3,917",112,"21,284","30,552","95,377"
2025/10/16,"39,415","3,917",112,"21,210","30,266","94,920"
2025/10/15,"39,344","3,920",113,"21,176","29,971","94,524"
2025/10/14,"39,327","3,916",113,"21,199","30,010","94,564"
2025/10/13,"39,393","3,903",114,"21,272","30,086","94,769"
2025/10/10,"39,319","3,927",115,"21,351","29,822","94,534"
2025/10/02,"39,342","3,982",112,"21,266","29,853","94,556"
2025/10/01,"39,201","3,982",112,"21,194","29,706","94,194"
2025/09/30,"38,999","3,963",113,"21,294","29,139","93,507"
2025/09/29,"38,953","3,961",113,"21,210","29,747","93,984"
2025/09/26,"38,978","3,970",113,"21,240","29,857","94,158"
2025/09/25,"39,098","3,974",113,"21,253","30,002","94,440"
2025/09/24,"38,982","3,908",113,"21,041","30,082","94,126"
2025/09/23,"38,844","3,838",113,"20,947","29,753","93,496"
2025/09/22,"37,585","3,819",112,"17,943","27,240","86,699"
2025/09/19,"37,618","3,818",110,"17,977","27,187","86,709"
2025/09/18,"38,997","3,913",111,"21,190","30,023","94,235"
2025/09/17,"38,822","3,918",112,"20,829","29,631","93,310"
2025/09/16,"38,732","3,909",112,"20,781","29,516","93,049"
2025/09/15,"38,562","3,888",113,"20,975","29,882","93,419"
2025/09/12,"38,066","3,878",113,"19,815","28,914","90,787"
2025/09/11,"37,902","3,886",113,"19,685","28,582","90,167"
2025/09/10,"38,351","3,904",113,"20,970","29,679","93,016"
2025/09/09,"38,185","3,911",114,"20,865","29,592","92,666"
2025/09/08,"38,058","3,904",114,"20,607","28,889","91,572"
2025/09/05,"38,037","3,922",114,"20,643","28,853","91,570"
2025/09/04,"38,099","3,929",115,"20,882","29,417","92,442"
2025/09/03,"38,012","3,930",114,"20,847","29,430","92,333"
2025/09/02,"37,926","3,914",115,"20,828","29,237","92,020"
2025/09/01,"37,917","3,903",115,"20,861","29,200","91,996"
2025/08/29,"38,097","3,908",116,"21,139","29,281","92,541"
2025/08/28,"38,144","3,909",115,"21,003","29,657","92,828"
2025/08/27,"38,290","3,926",113,"21,060","29,908","93,297"
2025/08/26,"38,179","3,942",114,"21,083","29,728","93,045"
2025/08/25,"38,236","3,931",114,"21,044","29,596","92,921"
2025/08/22,"38,316","3,896",115,"21,059","30,031","93,417"
2025/08/21,"38,179","3,880",115,"21,016","29,738","92,927"
2025/08/20,"38,066","3,878",111,"20,884","29,710","92,650"
2025/08/19,"37,916","3,883",111,"20,924","29,554","92,389"
2025/08/18,"37,860","3,869",111,"20,528","28,839","91,207"
2025/08/14,"37,743","3,833",111,"20,551","28,735","90,972"
2025/08/13,"36,835","3,821",109,"18,658","27,409","86,832"
2025/08/12,"36,863","3,824",110,"18,623","27,438","86,857"
2025/08/11,"36,572","3,829",110,"18,588","27,201","86,300"
2025/08/08,"36,551","3,816",110,"18,543","27,094","86,115"
2025/08/07,"35,926","3,805",110,"17,948","26,238","84,027"
2025/08/06,"35,959","3,789",110,"17,901","26,557","84,317"
2025/08/05,"37,415","3,851",112,"20,858","29,166","91,402"
2025/08/04,"37,369","3,824",112,"20,923","29,036","91,264"
2025/08/01,"37,291","3,812",113,"20,892","28,860","90,967"
2025/07/31,"37,391","3,788",112,"21,095","28,441","90,827"
2025/07/30,"36,714","3,773",112,"19,125","27,361","87,084"
2025/07/29,"36,553","3,751",112,"19,062","27,433","86,911"
2025/07/28,"36,683","3,743",113,"19,276","27,285","87,100"
2025/07/25,"36,601","3,670",113,"19,226","26,898","86,508"
2025/07/24,"35,535","3,661",112,"17,546","25,770","82,623"
2025/07/23,"35,586","3,658",113,"17,579","25,894","82,831"
2025/07/22,"36,692","3,721",114,"19,452","28,108","88,088"
2025/07/21,"36,508","3,687",114,"18,946","27,329","86,585"
2025/07/18,"36,732","3,691",114,"20,132","28,055","88,724"
2025/07/17,"36,155","3,673",114,"19,179","27,029","86,150"
2025/07/16,"35,920","3,667",113,"18,469","26,595","84,764"
2025/07/15,"36,638","3,689",114,"19,632","27,631","87,705"
2025/07/14,"36,843","3,709",114,"20,304","28,083","89,053"
2025/07/11,"36,906","3,729",114,"20,523","28,323","89,596"
2025/07/10,"36,812","3,733",114,"20,390","28,020","89,069"
2025/07/09,"36,745","3,734",115,"20,298","28,344","89,235"
2025/07/08,"36,566","3,688",115,"20,172","27,788","88,329"
2025/07/07,"35,984","3,685",113,"18,948","26,686","85,417"
2025/07/04,"36,074","3,708",113,"19,209","27,357","86,460"
2025/07/03,"36,607","3,741",114,"20,607","28,359","89,430"
2025/07/02,"36,518","3,736",115,"20,470","28,353","89,192"
2025/07/01,"36,511","3,726",115,"20,373","28,344","89,069"
2025/06/30,"36,279","3,697",115,"20,648","27,975","88,715"
2025/06/27,"35,972","3,706",115,"19,442","27,336","86,570"
2025/06/26,"35,840","3,673",115,"19,168","26,970","85,766"
2025/06/25,"35,577","3,717",115,"18,943","26,580","84,932"
2025/06/24,"35,767","3,683",115,"19,196","26,560","85,322"
2025/06/23,"36,190","3,713",116,"19,784","27,095","86,897"
2025/06/20,"36,412","3,699",116,"19,844","27,305","87,377"
2025/06/19,"36,592","3,715",117,"20,658","27,915","88,997"
2025/06/18,"36,562","3,696",117,"20,669","27,926","88,970"
2025/06/17,"36,401","3,685",117,"20,714","28,006","88,923"
2025/06/16,"36,345","3,693",118,"20,769","27,940","88,864"
2025/06/13,"36,370","3,698",118,"20,809","27,998","88,994"
2025/06/12,"36,255","3,691",118,"20,715","27,593","88,372"
2025/06/11,"36,201","3,700",119,"20,682","27,607","88,310"
2025/06/10,"36,011","3,686",119,"20,751","27,741","88,307"
2025/06/09,"35,785","3,642",119,"20,856","27,834","88,235"
2025/06/05,"35,665","3,659",119,"20,924","27,747","88,114"
2025/06/04,"35,643","3,628",118,"21,027","27,625","88,041"
2025/06/02,"35,306","3,612",117,"20,278","26,831","86,144"
2025/05/30,"35,275","3,588",117,"20,230","26,813","86,023"
2025/05/29,"34,991","3,603",116,"19,551","26,457","84,717"
2025/05/28,"35,184","3,604",116,"19,665","26,618","85,187"
2025/05/27,"35,826","3,627",118,"20,680","28,042","88,292"
2025/05/26,"34,986","3,593",117,"19,352","26,760","84,808"
