기간MMF규모,,,,,,
[단위 :십억원],,,,,,
기준일자,MMF현황,,,,"전일대비
증감","전월대비
증감"
,전체,개인,법인,구법,,
2025/12/01,"214,717","20,997","193,720",-,"1,550","1,550"
2025/11/28,"213,167","21,016","192,151",-,"-6,127",-138
2025/11/27,"219,294","21,010","198,284",-,"1,667","5,989"
2025/11/26,"217,627","20,872","196,755",-,"-2,587","4,323"
2025/11/25,"220,214","20,859","199,355",-,"-2,409","6,909"
2025/11/24,"222,623","21,003","201,620",-,"-5,027","9,318"
2025/11/21,"227,651","20,963","206,688",-,-356,"14,346"
2025/11/20,"228,007","20,941","207,066",-,"1,708","14,702"
2025/11/19,"226,299","20,958","205,341",-,"2,167","12,994"
2025/11/18,"224,133","20,918","203,215",-,"3,458","10,828"
2025/11/17,"220,675","20,870","199,804",-,"-2,620","7,370"
2025/11/14,"223,294","20,870","202,424",-,926,"9,990"
2025/11/13,"222,369","20,751","201,618",-,"3,074","9,064"
2025/11/12,"219,294","20,714","198,581",-,"1,409","5,989"
2025/11/11,"217,885","20,638","197,247",-,"1,024","4,581"
2025/11/10,"216,861","20,609","196,252",-,65,"3,556"
2025/11/07,"216,797","20,552","196,245",-,"-1,521","3,492"
2025/11/06,"218,318","20,539","197,778",-,-255,"5,013"
2025/11/05,"218,572","20,634","197,938",-,"-1,486","5,267"
2025/11/04,"220,058","20,748","199,311",-,"4,978","6,754"
2025/11/03,"215,081","20,736","194,345",-,"1,776","1,776"
2025/10/31,"213,305","20,772","192,533",-,"-3,674","16,184"
2025/10/30,"216,979","20,766","196,213",-,"2,477","19,858"
2025/10/29,"214,501","20,816","193,685",-,433,"17,381"
2025/10/28,"214,069","20,847","193,222",-,307,"16,948"
2025/10/27,"213,762","20,903","192,859",-,"-1,729","16,641"
2025/10/24,"215,491","20,938","194,553",-,"-1,709","18,370"
2025/10/23,"217,200","20,940","196,259",-,-296,"20,079"
2025/10/22,"217,495","20,928","196,567",-,"-2,403","20,375"
2025/10/21,"219,898","20,878","199,020",-,"1,953","22,777"
2025/10/20,"217,945","20,860","197,085",-,-53,"20,824"
2025/10/17,"217,998","20,839","197,159",-,"-1,699","20,877"
2025/10/16,"219,697","20,840","198,857",-,688,"22,576"
2025/10/15,"219,009","20,837","198,172",-,"2,044","21,889"
2025/10/14,"216,965","20,807","196,158",-,"3,617","19,845"
2025/10/13,"213,349","20,869","192,480",-,"5,973","16,228"
2025/10/10,"207,375","20,863","186,512",-,772,"10,255"
2025/10/02,"206,603","20,824","185,779",-,"5,551","9,483"
2025/10/01,"201,053","20,751","180,301",-,"3,932","3,932"
2025/09/30,"197,121","20,711","176,410",-,"-10,875","-27,970"
2025/09/29,"207,995","20,765","187,230",-,-696,"-17,096"
2025/09/26,"208,691","20,756","187,935",-,"-1,766","-16,400"
2025/09/25,"210,457","20,710","189,747",-,"-2,818","-14,634"
2025/09/24,"213,275","20,695","192,581",-,"-1,321","-11,816"
2025/09/23,"214,597","20,597","194,000",-,"-3,017","-10,494"
2025/09/22,"217,614","20,615","196,999",-,"-1,928","-7,477"
2025/09/19,"219,542","20,768","198,774",-,"-4,450","-5,549"
2025/09/18,"223,992","20,814","203,178",-,"-2,548","-1,099"
2025/09/17,"226,539","20,779","205,761",-,"-1,487","1,449"
2025/09/16,"228,027","20,876","207,151",-,"2,028","2,936"
2025/09/15,"225,999","20,819","205,179",-,167,908
2025/09/12,"225,832","20,754","205,078",-,"1,764",741
2025/09/11,"224,068","20,755","203,312",-,"1,934","-1,023"
2025/09/10,"222,134","20,770","201,364",-,"-2,101","-2,957"
2025/09/09,"224,235","20,769","203,466",-,"-2,783",-856
2025/09/08,"227,018","20,766","206,252",-,-980,"1,927"
2025/09/05,"227,998","20,739","207,259",-,"-1,292","2,907"
2025/09/04,"229,290","20,549","208,741",-,-472,"4,199"
2025/09/03,"229,763","20,541","209,222",-,56,"4,672"
2025/09/02,"229,707","20,496","209,211",-,"3,819","4,616"
2025/09/01,"225,888","20,523","205,365",-,797,797
2025/08/29,"225,091","20,557","204,534",-,"-5,116",998
2025/08/28,"230,207","20,603","209,604",-,"-1,754","6,113"
2025/08/27,"231,961","20,558","211,403",-,"2,625","7,867"
2025/08/26,"229,336","20,550","208,786",-,280,"5,243"
2025/08/25,"229,056","20,567","208,489",-,-581,"4,963"
2025/08/22,"229,637","20,558","209,079",-,"-2,549","5,543"
2025/08/21,"232,186","20,487","211,698",-,-98,"8,092"
2025/08/20,"232,284","20,493","211,790",-,425,"8,190"
2025/08/19,"231,858","20,486","211,372",-,71,"7,765"
2025/08/18,"231,788","20,479","211,309",-,"1,637","7,694"
2025/08/14,"230,150","20,337","209,814",-,-481,"6,057"
2025/08/13,"230,631","20,365","210,266",-,822,"6,537"
2025/08/12,"229,809","20,308","209,501",-,"1,101","5,716"
2025/08/11,"228,708","20,249","208,459",-,"-1,543","4,614"
2025/08/08,"230,251","20,187","210,064",-,"-2,007","6,157"
2025/08/07,"232,258","20,162","212,095",-,-780,"8,164"
2025/08/06,"233,038","20,258","212,780",-,-841,"8,944"
2025/08/05,"233,879","20,284","213,595",-,"2,578","9,785"
2025/08/04,"231,300","20,222","211,079",-,"6,459","7,207"
2025/08/01,"224,841","20,205","204,636",-,748,748
2025/07/31,"224,093","20,114","203,980",-,"-4,334","23,324"
2025/07/30,"228,427","20,065","208,362",-,-661,"27,659"
2025/07/29,"229,089","20,046","209,042",-,"2,414","28,320"
2025/07/28,"226,674","20,030","206,645",-,660,"25,906"
2025/07/25,"226,015","19,888","206,126",-,"-1,360","25,246"
2025/07/24,"227,374","19,891","207,484",-,"-1,517","26,605"
2025/07/23,"228,891","20,004","208,887",-,"-1,206","28,122"
2025/07/22,"230,097","20,007","210,090",-,184,"29,328"
2025/07/21,"229,913","19,991","209,923",-,"1,056","29,144"
2025/07/18,"228,857","19,991","208,866",-,"-2,516","28,088"
2025/07/17,"231,373","19,924","211,449",-,-229,"30,604"
2025/07/16,"231,602","19,950","211,652",-,"2,768","30,833"
2025/07/15,"228,834","19,942","208,892",-,"3,511","28,065"
2025/07/14,"225,322","19,922","205,400",-,"1,531","24,554"
2025/07/11,"223,791","19,893","203,899",-,684,"23,023"
2025/07/10,"223,107","19,887","203,221",-,"-1,874","22,338"
2025/07/09,"224,982","19,846","205,136",-,521,"24,213"
2025/07/08,"224,461","19,744","204,717",-,333,"23,692"
2025/07/07,"224,128","19,696","204,432",-,313,"23,359"
2025/07/04,"223,815","19,695","204,120",-,"1,728","23,046"
2025/07/03,"222,087","19,653","202,434",-,"3,122","21,318"
2025/07/02,"218,965","19,596","199,369",-,"13,168","18,196"
2025/07/01,"205,797","19,508","186,289",-,"5,028","5,028"
2025/06/30,"200,769","19,467","181,302",-,"-12,288","-20,458"
2025/06/27,"213,057","19,476","193,581",-,"-3,632","-8,170"
2025/06/26,"216,689","19,444","197,245",-,"-3,389","-4,538"
2025/06/25,"220,078","19,429","200,649",-,"-3,188","-1,150"
2025/06/24,"223,266","19,479","203,787",-,"-3,660","2,038"
2025/06/23,"226,926","19,527","207,399",-,-442,"5,699"
2025/06/20,"227,368","19,518","207,850",-,-678,"6,141"
2025/06/19,"228,046","19,537","208,508",-,"-2,351","6,818"
2025/06/18,"230,396","19,498","210,899",-,"1,742","9,169"
2025/06/17,"228,654","19,441","209,213",-,782,"7,427"
2025/06/16,"227,872","19,341","208,531",-,-573,"6,645"
2025/06/13,"228,446","19,299","209,147",-,-256,"7,219"
2025/06/12,"228,701","19,295","209,406",-,4,"7,474"
2025/06/11,"228,697","19,303","209,394",-,"1,878","7,470"
2025/06/10,"226,819","19,251","207,568",-,"-3,426","5,592"
2025/06/09,"230,245","19,236","211,009",-,-897,"9,017"
2025/06/05,"231,141","19,196","211,945",-,"3,434","9,914"
2025/06/04,"227,707","19,131","208,577",-,"5,295","6,480"
2025/06/02,"222,412","19,100","203,312",-,"1,185","1,185"
2025/05/30,"221,227","19,127","202,100",-,"-6,875","8,054"
2025/05/29,"228,102","19,655","208,447",-,-19,"14,928"
2025/05/28,"228,121","19,700","208,421",-,"3,122","14,948"
2025/05/27,"225,000","19,687","205,312",-,760,"11,826"
2025/05/26,"224,240","19,757","204,483",-,-777,"11,066"
2025/05/23,"225,017","19,796","205,221",-,"-4,996","11,844"
2025/05/22,"230,013","19,823","210,190",-,"-3,024","16,840"
2025/05/21,"233,037","19,842","213,196",-,-575,"19,864"
2025/05/20,"233,612","19,820","213,792",-,488,"20,439"
2025/05/19,"233,124","19,804","213,320",-,"1,501","19,951"
2025/05/16,"231,623","19,419","212,204",-,"1,591","18,450"
2025/05/15,"230,032","19,389","210,642",-,"3,600","16,859"
2025/05/14,"226,432","19,366","207,067",-,-439,"13,259"
2025/05/13,"226,871","19,295","207,576",-,"1,513","13,698"
2025/05/12,"225,358","19,343","206,014",-,"-2,440","12,184"
2025/05/09,"227,798","19,384","208,414",-,"3,594","14,625"
2025/05/08,"224,204","19,366","204,838",-,"2,640","11,031"
2025/05/07,"221,564","19,344","202,220",-,"3,892","8,391"
2025/05/02,"217,673","19,285","198,388",-,"4,499","4,499"
2025/04/30,"213,173","19,291","193,882",-,"-7,194","24,108"
2025/04/29,"220,367","19,451","200,916",-,495,"31,302"
2025/04/28,"219,873","19,475","200,398",-,317,"30,807"
2025/04/25,"219,556","19,475","200,080",-,"-1,184","30,490"
2025/04/24,"220,739","19,518","201,221",-,"-1,175","31,674"
2025/04/23,"221,915","19,566","202,348",-,-101,"32,849"
2025/04/22,"222,015","19,510","202,505",-,-64,"32,950"
2025/04/21,"222,080","19,476","202,604",-,"-1,064","33,014"
2025/04/18,"223,143","19,332","203,811",-,-389,"34,078"
2025/04/17,"223,533","19,319","204,214",-,-562,"34,467"
2025/04/16,"224,095","19,308","204,786",-,"3,031","35,029"
2025/04/15,"221,064","19,281","201,783",-,"2,484","31,999"
2025/04/14,"218,580","19,284","199,296",-,"1,597","29,515"
2025/04/11,"216,983","19,172","197,811",-,368,"27,918"
2025/04/10,"216,615","19,168","197,447",-,"-2,424","27,550"
2025/04/09,"219,039","18,991","200,048",-,-613,"29,974"
2025/04/08,"219,652","18,968","200,684",-,"1,476","30,587"
2025/04/07,"218,176","19,008","199,168",-,"1,014","29,111"
2025/04/04,"217,162","19,094","198,068",-,"3,811","28,096"
2025/04/03,"213,351","19,103","194,248",-,"3,889","24,286"
2025/04/02,"209,462","19,067","190,395",-,"12,456","20,396"
2025/04/01,"197,006","18,986","178,020",-,"7,940","7,940"
2025/03/31,"189,065","19,018","170,048",-,"-15,555","-19,571"
2025/03/28,"204,621","18,959","185,662",-,"-3,399","-4,015"
2025/03/27,"208,020","18,977","189,043",-,"1,016",-616
2025/03/26,"207,003","19,024","187,979",-,"-1,796","-1,633"
2025/03/25,"208,799","19,035","189,764",-,"-2,663",163
2025/03/24,"211,463","19,031","192,432",-,"-1,436","2,827"
2025/03/21,"212,898","18,983","193,915",-,"-1,669","4,262"
2025/03/20,"214,568","18,961","195,607",-,"-2,217","5,932"
2025/03/19,"216,785","18,926","197,859",-,-969,"8,149"
2025/03/18,"217,754","18,916","198,838",-,"1,290","9,118"
2025/03/17,"216,463","18,887","197,576",-,"-1,116","7,827"
2025/03/14,"217,579","18,866","198,713",-,662,"8,943"
2025/03/13,"216,918","18,780","198,138",-,"1,745","8,282"
2025/03/12,"215,172","18,767","196,406",-,705,"6,536"
2025/03/11,"214,467","18,716","195,751",-,"2,404","5,832"
2025/03/10,"212,063","18,669","193,394",-,"-2,629","3,427"
2025/03/07,"214,693","18,672","196,021",-,"-1,148","6,057"
2025/03/06,"215,840","18,653","197,188",-,-257,"7,204"
