Variable,Description,Source,Unit,API_Info
USD_KRW,원/달러 환율,Yahoo Finance,KRW,Ticker: KRW=X
Exports,수출(통관기준),ECOS API,천달러,"STAT: 901Y118, ITEM: T002"
Imports,수입(통관기준),ECOS API,천달러,"STAT: 901Y118, ITEM: T004"
Trade_Balance,상품수지(계절조정),ECOS API,백만달러,"STAT: 301Y017, ITEM: SA100"
Current_Account,경상수지(계절조정),ECOS API,백만달러,"STAT: 301Y017, ITEM: SA000"
CPI_KOR,소비자물가지수(한국),ECOS API,2020=100,"STAT: 901Y009, ITEM: 0"
Import_Price_Index,수입물가지수,ECOS API,2020=100,"STAT: 401Y015, ITEM: *AA"
Industrial_Production,전산업생산지수,ECOS API,2020=100,"STAT: 901Y033, ITEM: A00"
Unemployment_KOR,한국 실업률(계절조정),FRED,%,Series: LRUN64TTKRM156S
M2,"M2 (평잔, 원계열)",ECOS API,십억원,"STAT: 101Y004, ITEM: BBHA00"
MMF,"MMF (평잔, 원계열)",ECOS API,십억원,"STAT: 101Y004, ITEM: BBHA04"
Demand_Deposits,"요구불예금 (평잔, 원계열)",ECOS API,십억원,"STAT: 101Y004, ITEM: BBHA02"
Policy_Rate_KOR,한국은행 기준금리,ECOS API,%,"STAT: 722Y001, ITEM: 0101000"
Policy_Rate_USA,미국 연준 기준금리,FRED,%,Series: FEDFUNDS
DXY,미국 달러 인덱스,Yahoo Finance,Index,Ticker: DX-Y.NYB
VIX,VIX 지수 (변동성 지수),Yahoo Finance,Index,Ticker: ^VIX
WTI_Oil,WTI 국제유가,Yahoo Finance,USD/bbl,Ticker: CL=F
Rate_Spread_KOR_USA,한국-미국 금리차,Calculated,%p,KOR - USA
